qid,question,expected_documents,hops,stratum,repo,head_number,tail_number,grep_handle,excluded,exclusion_reason
ws8_q054,"In rust-lang/rust, someone reported: ""Suspected miscompilation with `bool as u32`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__158206.md;rust-lang__rust__158331.md;rust-lang__rust__158214.md,3,hop3plus,rust-lang/rust,158206,158214,6.303,False,
ws8_q055,"In kubernetes/kubernetes, someone reported: ""DRA: allocator should fail closed (per-node) on a malformed ResourceSlice nodeSelector term count"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141214.md;kubernetes__kubernetes__141338.md;kubernetes__kubernetes__141213.md;kubernetes__kubernetes__141212.md,4,hop3plus,kubernetes/kubernetes,141214,141212,6.1695,False,
ws8_q056,"In kubernetes/kubernetes, someone reported: ""apiserver: return 400 instead of 500 for invalid DeleteOptions dryRun type"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__139490.md;kubernetes__kubernetes__139540.md;kubernetes__kubernetes__139491.md,3,hop3plus,kubernetes/kubernetes,139490,139491,6.8626,False,
ws8_q057,"In rust-lang/rust, someone reported: ""[ICE]: `attempt to subtract with overflow`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__158800.md;rust-lang__rust__158850.md;rust-lang__rust__158645.md;rust-lang__rust__158890.md;rust-lang__rust__159202.md,5,hop3plus,rust-lang/rust,158800,159202,7.3326,False,
ws8_q058,"In kubernetes/kubernetes, someone reported: ""[Flaking tests] k8s.io/kubernetes/test/integration/dra: all - TestDRA/all/PodGroup/basic-20-pods"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__139555.md;kubernetes__kubernetes__139417.md;kubernetes__kubernetes__140177.md;kubernetes__kubernetes__140061.md;kubernetes__kubernetes__140098.md;kubernetes__kubernetes__139602.md,6,hop3plus,kubernetes/kubernetes,139555,139602,6.303,False,
ws8_q059,"In rust-lang/rust, someone reported: ""[ICE]: `TypeNs(""core_alloc"") != Ctor`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__158769.md;rust-lang__rust__158686.md;rust-lang__rust__158569.md,3,hop3plus,rust-lang/rust,158769,158569,8.2489,False,
ws8_q060,"In kubernetes/kubernetes, someone reported: ""PersistentVolume explicit binding compares capacities through overflowing Quantity.Value()"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141617.md;kubernetes__kubernetes__141166.md;kubernetes__kubernetes__140442.md;kubernetes__kubernetes__140084.md;kubernetes__kubernetes__140431.md;kubernetes__kubernetes__139795.md,6,hop3plus,kubernetes/kubernetes,141617,139795,7.3326,False,
ws8_q061,"In rust-lang/rust, someone reported: ""Tracking issue for release notes of #…: Tracking Issue for `bool::toggle`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__160292.md;rust-lang__rust__161462.md;rust-lang__rust__160299.md,3,hop3plus,rust-lang/rust,160292,160299,5.7232,False,
ws8_q062,"In rust-lang/rust, someone reported: ""[ICE]: adding Send to fn signature causes ICE"" What was this eventually traced to, and what resolved it?",rust-lang__rust__161504.md;rust-lang__rust__161503.md;rust-lang__rust__159680.md;rust-lang__rust__162071.md,4,hop3plus,rust-lang/rust,161504,162071,3.6388,False,
ws8_q063,"In kubernetes/kubernetes, someone reported: ""flakiness in `ci-node-crio-kubelet-serial`"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140944.md;kubernetes__kubernetes__140848.md;kubernetes__kubernetes__140631.md;kubernetes__kubernetes__140628.md,4,hop3plus,kubernetes/kubernetes,140944,140628,5.4763,False,
ws8_q064,"In kubernetes/kubernetes, someone reported: ""[Failing Test] Windows e2e node CPUManager specs failing since 2026-07-17 (windows-e2e-node-master)"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140777.md;kubernetes__kubernetes__140667.md;kubernetes__kubernetes__140645.md,3,hop3plus,kubernetes/kubernetes,140777,140645,5.3312,False,
ws8_q065,"In rust-lang/rust, someone reported: ""More global allocator reentrancy issues; this time `thread_local`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__160930.md;rust-lang__rust__160837.md;rust-lang__rust__160793.md;rust-lang__rust__160219.md,4,hop3plus,rust-lang/rust,160930,160219,6.4572,False,
ws8_q066,"In rust-lang/rust, someone reported: ""cargo doc freezes on libc with nightly-2026-08-03"" What was this eventually traced to, and what resolved it?",rust-lang__rust__160439.md;rust-lang__rust__160464.md;rust-lang__rust__159881.md,3,hop3plus,rust-lang/rust,160439,159881,7.5558,False,
ws8_q067,"In rust-lang/rust, someone reported: ""1.98 beta rustdoc regression: ""reached the configured maximum number of stack frames"""" What was this eventually traced to, and what resolved it?",rust-lang__rust__159477.md;rust-lang__rust__159623.md;rust-lang__rust__159721.md,3,hop3plus,rust-lang/rust,159477,159721,4.9718,False,
ws8_q068,"In rust-lang/rust, someone reported: ""Tracking issue for release notes of #…: Promote riscv64-unknown-linux-musl to tier 2 with host tools"" What was this eventually traced to, and what resolved it?",rust-lang__rust__160259.md;rust-lang__rust__158766.md;rust-lang__rust__159793.md,3,hop3plus,rust-lang/rust,160259,159793,5.2532,False,
ws8_q069,"In kubernetes/kubernetes, someone reported: ""DeviceTaintRule with deviceSelector omitted blocks device allocation cluster-wide, including adminAccess claims, contradicting documented behavior"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141620.md;kubernetes__kubernetes__141425.md;kubernetes__kubernetes__141422.md,3,hop3plus,kubernetes/kubernetes,141620,141422,7.3326,False,
ws8_q070,"In kubernetes/kubernetes, someone reported: ""[Flake test] [sig-scalability] gce-master-scale-performance-5000 kubetest2.Up"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140642.md;kubernetes__kubernetes__139622.md;kubernetes__kubernetes__139494.md,3,hop3plus,kubernetes/kubernetes,140642,139494,5.5409,False,
ws8_q071,"In kubernetes/kubernetes, someone reported: ""DRA structured allocator overflows the native-int device-count sum in the per-claim limit check"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__141323.md;kubernetes__kubernetes__140424.md;kubernetes__kubernetes__140451.md,3,hop3plus,kubernetes/kubernetes,141323,140451,5.1809,False,
ws8_q072,"In rust-lang/rust, someone reported: ""Tracking issue for release notes of #…: Add new `invalid_markdown_table` rustdoc lint"" What was this eventually traced to, and what resolved it?",rust-lang__rust__160656.md;rust-lang__rust__159583.md;rust-lang__rust__158709.md,3,hop3plus,rust-lang/rust,160656,158709,6.3771,False,
ws8_q073,"In rust-lang/rust, someone reported: ""Another bug in `BTreeMap` from allocator panicking on drop; this time in `remove`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__159368.md;rust-lang__rust__157428.md;rust-lang__rust__157801.md,3,hop3plus,rust-lang/rust,159368,157801,4.7677,False,
ws8_q074,"In kubernetes/kubernetes, someone reported: ""[Flaking Test] [sig-node] Pod InPlace Resize Container (deferred-resizes) [FeatureGate:InPlacePodVerticalScaling] pod-resize-retry-deferred-test-2"" What was this eventually traced to, and what resolved it?",kubernetes__kubernetes__140640.md;kubernetes__kubernetes__140481.md;kubernetes__kubernetes__140047.md,3,hop3plus,kubernetes/kubernetes,140640,140047,6.5442,False,
ws8_q075,"In rust-lang/rust, someone reported: ""Tracking issue for release notes of #…: hermit/fs: Return `unsupported()` instead of `from_raw_os_error(22)`"" What was this eventually traced to, and what resolved it?",rust-lang__rust__160258.md;rust-lang__rust__158247.md;rust-lang__rust__158168.md,3,hop3plus,rust-lang/rust,160258,158168,6.5442,False,
