row,subset,question,golds,answer_presence_at_10_gt,answer_presence_at_100_gt
307,main,when were the winnie the pooh books written,"[""1924"", ""1926"", ""1927"", ""1928""]",True,True
318,main,when did canada get rid of the death penalty,"[""July 14, 1976"", ""1976"", ""1998""]",True,True
319,main,when does the new gotham season come out,"[""September\u00a021,\u00a02017"", ""September 21, 2017""]",True,True
337,main,when was the taming ofthe shrew first performed,"[""prior to June 1592""]",True,True
350,main,what album is sacrifice by elton john on,"[""Sleeping with the Past."", ""Sleeping with the Past""]",True,True
352,main,who holds the world record for the most world records,"[""Ashrita Furman""]",True,True
371,main,most of new zealands land supports which economic activity,"[""agriculture"", ""Pastoral farming""]",True,True
382,main,where do rory and paris go to college,"[""Yale University"", ""Yale University,""]",False,True
399,main,when did the the regulatory reform (fire safety) order 2005 first come into effect,"[""1 October 2006""]",True,True
400,main,when did the bill of rights come out,"[""1689"", ""16 December 1689""]",True,True
416,main,what position did doug peterson play in the nfl,"[""holder on placekicks"", ""quarterback""]",True,True
419,main,when was harry potter and the philosophers stone published,"[""in 1997"", ""1997""]",True,True
421,main,when did skiing halfpipe become an olympic event,"[""2014""]",True,True
422,main,who plays at the prudential center in newark,"[""Seton Hall Pirates"", ""New Jersey Devils""]",True,True
433,main,what was the emperor name in star wars,"[""Darth Sidious"", ""Sheev Palpatine""]",True,True
442,main,is it marley and me or marley and i,"[""Marley & Me""]",True,True
444,main,when did seattle slew win the triple crown,"[""1977"", ""in 1977""]",True,True
447,main,who is super bowl 2018 half time show,"[""Justin Timberlake""]",False,True
450,main,who wrote lyrics for phantom of the opera,"[""Charles Hart"", ""Charles Hart and Richard Stilgoe"", ""Richard Stilgoe""]",True,True
453,main,where is the left anterior descending artery located,"[""the left coronary artery""]",True,True
476,main,when was the last time the boston red sox pitched a no-hitter,"[""May 19, 2008""]",True,True
482,main,who won the award for best goalkeeper in football world cup 2006,"[""Gianluigi Buffon""]",True,True
484,main,is a network connection device that can build tables that identify addresses on each network,"[""routing table"", ""a router""]",True,True
486,main,what was the final episode of quantum leap,"[""\""Mirror Image\""""]",True,True
488,main,who has been appointed as the election commissioner of india,"[""Om Prakash Rawat""]",False,True
491,main,what are the parts of a domain name called,"[""subdomain"", ""top-level domain"", ""hostname""]",True,True
496,main,when was the last time michigan won the championship,"[""1989""]",True,True
501,main,animals that are active at dawn and dusk,"[""Crepuscular"", ""crepuscular"", ""Crepuscular animals""]",True,True
508,main,who sings got my mind set on you,"[""James Ray"", ""George Harrison""]",True,True
513,main,who won game 4 of the 2000 nba finals,"[""Los Angeles Lakers""]",True,True
518,main,where was the tv show in the heat of the night filmed,"[""Decatur in Dekalb County"", ""Atlanta"", ""Covington, Georgia"", ""Hammond, Louisiana""]",True,True
523,main,what is the origin of the name robinson,"[""English language patronymic surname""]",True,True
524,main,when was the first super bowl the eagles ever won,"[""2017"", ""1948""]",True,True
531,main,when did tim hortons open in the usa,"[""1981""]",False,True
537,main,how many kilometers of great wall of china,"[""8,850\u00a0km"", ""21,196\u00a0km""]",True,True
551,main,how many episodes in adventure time season 1,"[""26""]",True,True
552,main,when did the us stop drafting for the vietnam war,"[""1973""]",True,True
553,main,who were the bands in pitch perfect 3,"[""Evermoist"", ""Saddle Up"", ""the Bellas""]",True,True
559,main,sweet leavened bread prepared for easter in romania,"[""Kozunak"", ""Cozonac""]",True,True
565,main,what is the money called in south korea,"[""won"", ""The won""]",True,True
590,main,who won first ancient olympic 200 yard race,"[""Coroebus of Elis""]",True,True
591,main,what are the spices in chinese 5 spice powder,"[""Sichuan pepper"", ""Cloves (dingxiang \u4e01\u9999)"", ""Star anise"", ""Cloves"", ""Chinese cinnamon"", ""Fennel seeds""]",False,True
604,main,who played maudie in the movie el dorado,"[""Charlene Holt""]",False,True
606,main,who does marge's voice on the simpsons,"[""Julie Deborah Kavner""]",True,True
614,main,who plays the mouse in alice in wonderland,"[""Barbara Windsor""]",True,True
617,main,who played gareth in four weddings and a funeral,"[""Simon Callow""]",True,True
621,main,cast of law & order special victim unit,"[""Kelli Giddish"", ""Richard Belzer"", ""Stephanie March"", ""Diane Neal"", ""Ice-T"", ""Danny Pino"", ""Dann Florek"", ""Tamara Tunie"", ""Michaela McManus"", ""Mariska Hargitay"", ""Adam Beach"", ""B. D. Wong"", ""Christopher Meloni"", ""Ra\u00fal Esparza"", ""Michelle Hurd"", ""Peter Scanavino""]",True,True
637,main,who did carolina lose to in the super bowl,"[""Denver Broncos"", ""New England Patriots""]",True,True
642,main,when was kudzu introduced to the united states,"[""1876"", ""in 1876""]",True,True
644,main,where was the flag placed on the moon,"[""Hadley\u2013Apennine"", ""Sea of Tranquility"", ""Fra Mauro formation"", ""Descartes Highlands"", ""Ocean of Storms"", ""Taurus\u2013Littrow""]",True,True
652,main,when did jack mccoy join law and order,"[""1994""]",False,True
684,main,who owns the golden nugget casino in atlantic city,"[""Landry's, Inc.""]",False,True
697,main,legislation regarding data protection and security in uk,"[""The Data Protection Act 1998"", ""Data Protection Act 1998""]",True,True
701,main,where is the tv show the curse of oak island filmed,"[""Oak Island""]",True,True
705,main,the world famous corn belt is in which country,"[""United States"", ""the United States""]",True,True
715,main,when did they stop saying mass in latin,"[""from 1967 onwards"", ""1967""]",False,True
726,main,where do the phaeacians live in the odyssey,"[""Scheria""]",False,True
753,main,who sings far from the home i love in fiddler on the roof,"[""Hodel""]",True,True
754,main,where was the tv show high chaparral filmed,"[""California"", ""Saguaro National Park"", ""Old Tucson Studios in Arizona""]",True,True
782,main,who was the captain of the mayflower which brought the pilgrims to plymouth,"[""Master Christopher Jones"", ""Christopher Jones""]",False,True
784,main,what is the number of basic units in the international system of units,"[""seven""]",True,True
787,main,where was the original planet of the apes filmed at,"[""Utah"", ""in northern Arizona"", ""California"", ""Arizona""]",True,True
802,main,who has sold more albums kelly or carrie,"[""Carrie"", ""Carrie Underwood""]",True,True
823,main,who wrote there's a guy works down the chip shop lyrics,"[""Philip Rambow"", ""Kirsty MacColl/Philip Rambow"", ""Kirsty MacColl""]",True,True
826,main,who wrote the text for jeanie with the light brown hair,"[""Stephen Foster""]",True,True
841,main,when was the last time university of michigan won a national championship,"[""1997""]",False,True
845,main,who wrote the first declaration of human rights,"[""Cyrus""]",True,True
855,main,in the song i drive your truck who is he talking about,"[""his brother""]",False,True
861,main,when did the first battle of ypres end,"[""22 November 1914""]",True,True
868,main,who plays the beast on the new beauty and the beast,"[""Dan Stevens""]",True,True
873,main,when did the vikings first sail and reach britain,"[""6 January 793"", ""786\u2013802""]",False,True
884,main,which is the site of the light dependent reactions of photosynthesis,"[""thylakoid membranes"", ""the thylakoid membranes""]",True,True
891,main,where does puerto rico's power come from,"[""Puerto Rico Electric Power Authority""]",True,True
896,main,when was the first ford f 150 made,"[""1975""]",True,True
901,main,what's the largest city park in the united states,"[""Franklin Mountains State Park""]",True,True
907,main,panic at the disco song about a wedding,"[""I Write Sins Not Tragedies""]",True,True
931,main,what kind of animals live in the great victoria desert,"[""malleefowl"", ""water-holding frog"", ""great desert skink"", ""sandhill dunnart"", ""dingo"", ""sand goanna"", ""crest-tailed mulgara"", ""southern marsupial mole"", ""chestnut-breasted whiteface"", ""perentie""]",True,True
937,main,who are the permanent member of un security council,"[""China"", ""United Kingdom"", ""United States"", ""Russia"", ""France""]",True,True
944,main,which is the fastest train in india and what is its speed,"[""Gatiman"", ""160km/hour"", ""Mumbai Rajdhani Express""]",False,True
966,main,which philosopher advocated the idea of return to nature,"[""Bacon""]",False,True
967,main,who led the conquest of the incas in south america,"[""Francisco Pizarro"", ""conquistador Francisco Pizarro""]",True,True
970,main,what is the genus of a bald eagle,"[""Haliaeetus""]",True,True
972,main,what is the collection of the districts to the east of the jordan river,"[""Jordan"", ""Golan Heights""]",True,True
978,main,who hung the lanterns in the old north church,"[""Robert Newman"", ""Captain John Pulling""]",False,True
987,main,what hangs from the trees in the bayou,"[""Spanish moss""]",False,True
990,main,another name for the torso is the blank region of the body,"[""trunk""]",True,True
992,main,how many seasons of from dusk till dawn are there,"[""third season""]",True,True
1000,main,what does g stand for in baseball stats,"[""Games"", ""Games played""]",True,True
1001,main,who was the last nba player to get drafted out of high school,"[""Thon Maker""]",True,True
1003,main,when was the last amendment to the constitution passed,"[""May 5, 1992""]",True,True
1005,main,who is the new york state senate majority leader,"[""John J. Flanagan""]",True,True
1016,main,when was the first wonder woman comic released,"[""December 1941"", ""January 1942"", ""October 1941""]",True,True
1020,main,who coined the phrase let get ready to rumble,"[""Michael Buffer""]",True,True
1026,main,who founded mission nuestra senora de la soledad,"[""the Franciscan order"", ""Ferm\u00edn Francisco de Lasu\u00e9n""]",True,True
1028,main,where are the winter olympics and when do they start,"[""Pyeongchang County, South Korea"", ""Pyeongchang, South Korea"", ""9 to 25 February 2018"", ""9 February""]",True,True
1032,main,what process causes the continents to drift apart how,"[""Continental drift""]",True,True
1048,main,who is the largest supermarket chain in the uk,"[""Aldi"", ""Tesco""]",True,True
1056,main,who is the highest selling r&b artist of all time,"[""Rihanna"", ""Michael Jackson""]",True,True
1063,main,who did cubs beat in 2016 world series,"[""the Indians"", ""Cleveland Indians""]",True,True
1065,main,when do love and hip hop new york come back on,"[""November\u00a013,\u00a02017"", ""October 30, 2017""]",True,True
1066,main,when did ibuprofen become available over the counter,"[""1983"", ""1984""]",True,True
1071,main,when did muhammad ali win an olympic gold medal,"[""1960""]",True,True
1085,main,where was the world economic forum held this year,"[""Davos""]",True,True
1088,main,who is emma dating in once upon a time,"[""Hook""]",True,True
1089,main,when does the world cup of hockey start,"[""2020""]",True,True
1093,main,when does a wrinkle in time come out in canada,"[""March 9, 2018""]",False,True
1094,main,new york heart association functional classification of angina,"[""II""]",True,True
1103,main,the cuban revolt against spain was led by,"[""M\u00e1ximo Gomez"", ""Antonio Maceo"", ""Jos\u00e9 Mart\u00ed""]",True,True
1106,main,colby chees is named after a town in what state,"[""Wisconsin""]",True,True
1108,main,what happens when iron reacts with oxygen and water,"[""Rust""]",True,True
1113,main,who did the original spirit in the sky,"[""Norman Greenbaum""]",True,True
1114,main,internet based test of english as a foreign language test,"[""TOEFL""]",True,True
1118,main,how many players on the line of scrimmage in american football,"[""at least seven players"", ""at least seven"", ""seven""]",True,True
1122,main,who was the 11th prime minister of canada,"[""R. B. Bennett"", ""Arthur Meighen""]",False,True
1125,main,where are the next two winter olympics going to be held,"[""Beijing"", ""TBD""]",True,True
1148,main,who won the 30 man royal rumble match,"[""Shinsuke Nakamura"", ""Randy Orton""]",True,True
1155,main,how many games does a team have to win for the world series,"[""best-of-seven""]",True,True
1158,main,where does the last name hansen come from,"[""Norway"", ""the Faroe Islands"", ""Scandinavian"", ""Denmark""]",True,True
1174,main,when is the strictly come dancing results show recorded,"[""Saturday"", ""Sunday night""]",False,True
1183,main,how many seasons of johnny bravo are there,"[""four""]",True,True
1191,main,when does brooklyn nine nine season 5 episode 12,"[""March\u00a018,\u00a02018""]",True,True
1216,main,what flag is red and has a gold star,"[""flag of Vietnam"", ""Vietnam"", ""The flag of Vietnam""]",False,True
1217,main,who expanded the palace of versailles to its present size,"[""Louis XIV"", ""Louis XV""]",True,True
1244,main,who wrote the song oh lord won't you buy me a mercedes benz,"[""Janis Joplin"", ""Bob Neuwirth"", ""Michael McClure""]",True,True
1258,main,who played harley in harley davidson and the marlboro man,"[""Mickey Rourke""]",False,True
1278,main,when was the last time the dodgers played yankees in the world series,"[""1981""]",True,True
1279,main,who has the highest paid contract in the nba,"[""Stephen Curry""]",True,True
1282,main,who got the most passing yards in the nfl,"[""Peyton Manning""]",True,True
1287,main,when did the song rapper's delight come out,"[""1979"", ""September 16, 1979""]",True,True
1289,main,who sang how can you mend a broken heart first,"[""Bee Gees"", ""the Bee Gees""]",True,True
1292,main,where does the us launch space shuttles from,"[""Florida""]",True,True
1293,main,a country having an island location and a country having continental location,"[""Australia""]",True,True
1313,main,who did the astros play last time they were in the world series,"[""White Sox"", ""Los Angeles Dodgers""]",True,True
1320,main,turkish finnish and hungarian belong to which family of languages,"[""Uralic languages""]",True,True
1322,main,when was i can only imagine the song released,"[""1999"", ""2001""]",True,True
1333,main,which state was returned to spain after the revolutionary war,"[""Florida"", ""Menorca""]",True,True
1336,main,dendrites and cell bodies are components of what type of matter found in the brain,"[""gray"", ""Grey matter""]",True,True
1338,main,which nfl coach has the most superbowl rings,"[""Bill Belichick""]",True,True
1342,main,most assists in an nba all star game,"[""60"", ""22""]",True,True
1370,main,when does the mlb season start and finish,"[""March 29"", ""October 31, 2018""]",True,True
1372,main,who said everyone will be famous for 15 minutes,"[""Andy Warhol""]",True,True
1375,main,when did the revolution begin in the united states,"[""1775"", ""1765""]",True,True
1376,main,who played tom on as the world turns,"[""Jason Kincaid (1984)"", ""Jason Kincaid"", ""C. David Colson"", ""Peter Galman"", ""Scott Holmes"", ""Gregg Marx"", ""Justin Deas"", ""others"", ""Tom Tammi""]",False,True
1396,main,when was the last time the seattle seahawks won the superbowl,"[""2013""]",True,True
1418,main,who starred in the pirates of the caribbean,"[""Johnny Depp"", ""Orlando Bloom"", ""Geoffrey Rush"", ""Kevin McNally"", ""Jonathan Pryce"", ""Jack Davenport"", ""Keira Knightley""]",True,True
1419,main,who plays bianca in that's so raven,"[""Erica Rivera""]",True,True
1423,main,who is the lead singer of collective soul,"[""Ed Roland""]",True,True
1427,main,who penned the famous indian epic the ramayana,"[""Valmiki"", ""the Hindu sage Valmiki""]",True,True
1433,main,who did virginia cavaliers lose to in basketball this year,"[""Virginia Tech"", ""West Virginia"", ""UMBC""]",True,True
1437,main,what type of government is in north america,"[""Federal presidential constitutional republic"", ""federal republic""]",True,True
1438,main,when did the first episode of that 70s show air,"[""August 23, 1998"", ""August\u00a023,\u00a01998""]",True,True
1463,main,who sings what the world needs now in boss baby,"[""Missi Hale"", ""Steve Mazzaro"", ""Hans Zimmer""]",True,True
1466,main,when was the first case of alzheimer's diagnosed,"[""1901""]",True,True
1471,main,how many episodes of ray donovan series 3 are there,"[""60"", ""12""]",True,True
1480,main,where was the first t20 cricket match played,"[""Lord's""]",True,True
1484,main,when was the suite life of zack and cody made,"[""March\u00a018,\u00a02005"", ""September\u00a01,\u00a02008"", ""2005""]",True,True
1487,main,the resting stage of the cell cycle is,"[""Gap 0"", ""Interphase""]",True,True
1490,main,who played king theoden in lord of the rings,"[""Bernard Hill""]",False,True
1496,main,what culture region is germany a part of,"[""Central Germany""]",True,True
1501,main,what song did the titanic band play when it sank,"[""\""Autumn\""""]",True,True
1507,main,who won the election for mayor in boston,"[""Marty J. Walsh"", ""Marty Walsh""]",True,True
1520,main,where do the royalties for winnie the pooh go,"[""the Slesinger family"", ""Slesinger, Inc.""]",True,True
1527,main,roman god of the underworld also called orcus or pluto,"[""Dis Pater""]",True,True
1538,main,most consecutive games with 20+ points - nba history,"[""126""]",False,True
1542,main,when did american idol end the first time,"[""April 7, 2016""]",True,True
1558,main,what was the first video game for nintendo,"[""Magnavox Odyssey"", ""EVR Race""]",False,True
1574,main,when did lynyrd skynyrd's plane crash happen,"[""October 20, 1977""]",True,True
1583,main,the octet rule states that in chemical compounds atoms tend to have the electron configuration of a,"[""noble gas""]",True,True
1589,main,the german princes who chose the holy roman empire were called,"[""prince-electors"", ""the Prince-Electors""]",True,True
1594,main,leader of carthage in the first punic war,"[""Hanno the Great"", ""Xanthippus"", ""Hasdrubal the Fair"", ""Hamilcar Barca""]",True,True
1611,main,how many senators are there in the us senate,"[""100"", ""100 members""]",True,True
1613,main,where do the greasers live in the outsiders,"[""Tulsa, Oklahoma""]",False,True
1617,main,trick taking card game name derived from spanish for man,"[""Skat""]",False,True
1625,main,how many states have a cracker barrel restaurant,"[""43""]",True,True
1626,main,when did new york stop using the electric chair,"[""1963"", ""1972""]",True,True
1627,main,what is the meaning of gorakh dhanda in urdu,"[""You are a Puzzle""]",False,True
1630,main,when were the words under god added to the pledge,"[""on Flag Day in 1954"", ""1954"", ""Flag Day in 1954""]",True,True
1641,main,when does canada switch to daylight savings time,"[""the second Sunday of March""]",True,True
1654,main,when do wood thrushes fly when they are migrating,"[""in the winter"", ""at night""]",False,True
1656,main,what is a whistle blower suit under the false claims act,"[""qui tam""]",True,True
1660,main,what's the biggest nfl stadium in the united states,"[""Michigan Stadium"", ""MetLife Stadium""]",True,True
1661,main,who was the walker rick killed in the first episode,"[""Addy Miller""]",False,True
1670,main,who won french open 2017 tennis tournament in men's double category,"[""Ryan Harrison"", ""Michael Venus""]",False,True
1690,main,when did the right to buy scheme start,"[""1980""]",True,True
1699,main,who won the marathon in new york city,"[""Geoffrey Kamworor""]",False,True
1767,main,who plays the evil doctor in wonder woman,"[""Elena Anaya"", ""Spanish actress Elena Anaya""]",False,True
1770,main,when did indoor toilets become common in america,"[""After World War I""]",True,True
1777,main,where are the san juan mountains in new mexico,"[""northwestern New Mexico""]",True,True
1785,main,who brought the idea of castles to england,"[""Norman invaders""]",True,True
1797,main,where was the 2015 rugby union world cup held,"[""England"", ""Wales""]",True,True
1799,main,when did britain set up east indian trading company,"[""31 December 1600""]",True,True
1800,main,where was the movie jeremiah johnson filmed at,"[""Utah""]",True,True
1804,main,who are the two teams in super bowl 2018,"[""New England Patriots"", ""Philadelphia Eagles""]",True,True
1810,main,who won every men's biathlon event in the 2002 winter olympics,"[""Norway"", ""Ole Einar Bj\u00f8rndalen""]",True,True
1811,main,who does dwyane wade play for right now,"[""the Miami Heat"", ""Miami Heat""]",True,True
1816,main,who won the workd series of poker 2017,"[""Scott Blumstein""]",False,True
1832,main,who played pink in pink floyd the wall,"[""Kevin McKeon as Young Pink"", ""Bob Geldof as Pink"", ""David Bingham as Little Pink"", ""Bob Geldof"", ""David Bingham"", ""Kevin McKeon""]",True,True
1837,main,industrial city in germany on the rhine herne canal,"[""Henrichenburg"", ""Duisburg""]",True,True
1842,main,when was penicillin first introduced to the public,"[""After World War II"", ""1942""]",False,True
1859,main,who wrote the song be thankful for what you got,"[""William DeVaughn""]",True,True
1864,main,what's the average lifespan of a basset hound,"[""Median 10\u201312 years"", ""10\u201312 years""]",False,True
1874,main,where did chocolate originate the americas spain asia,"[""Mesoamerica"", ""the Americas"", ""Americas""]",True,True
1875,main,who received the most (but not a majority of) electoral votes in 1824,"[""Andrew Jackson""]",True,True
1906,main,what is the number of total presidential electoral votes,"[""538""]",True,True
1908,main,what tool is available from microsoft as an alternative to the usmt for smaller migrations,"[""Windows Easy Transfer""]",False,True
1916,main,when did ohio state join the big 10,"[""1912""]",True,True
1932,main,who won season 2 of real chance of love,"[""Jackie DaFonseca"", ""Kamille Leai"", ""Hot Wings"", ""Doll""]",False,True
1933,main,who does the voice of nelson on simpsons,"[""Nancy Jean Cartwright""]",False,True
1934,main,who is the coach of university of kentucky basketball,"[""John Calipari"", ""John Vincent Calipari""]",True,True
1940,main,who is the present rajya sabha speaker of india,"[""Venkaiah Naidu""]",True,True
1952,main,who devised the fingerprint classification still used today in europe and the us,"[""Hem Chandra Bose"", ""Azizul Haque"", ""Sir Edward Henry""]",True,True
1955,main,where does the cell spend most of its time in the cell cycle,"[""Interphase""]",True,True
1960,main,who is the most losing team in nfl history,"[""Arizona Cardinals"", ""Tampa Bay Buccaneers""]",True,True
1964,main,how many series of diary of a wimpy kid are there,"[""12""]",False,True
1967,main,when did red dead redemption 1 come out,"[""May 18, 2010"", ""May 2010""]",True,True
1969,main,what channel is abc on in phoenix arizona,"[""15""]",True,True
1980,main,how many episodes is ash vs evil dead season 3,"[""10""]",True,True
1986,main,who scored the most points in a single game in the nba,"[""Wilt Chamberlain""]",True,True
1999,main,the nurses' health study is an example of what type of study,"[""long-term"", ""prospective"", ""prospective studies""]",False,True
2003,main,what nba player has scored the most 3 pointers,"[""Ray Allen""]",True,True
2021,main,where did the last name edwards come from,"[""England"", ""Scotland"", ""Wales""]",True,True
2051,main,when were the first general elections held in independent india,"[""1951\u201352""]",True,True
2064,main,what is the population of the tri-cities washington,"[""283,846"", ""over 300,000""]",True,True
2070,main,who sang my bucket got a hole in it,"[""Hank Williams""]",True,True
2078,main,who played the king in the ten commandments,"[""Yul Brynner"", ""Woodrow Strode""]",True,True
2083,main,what was the result of the revolt of 1857,"[""British victory"", ""Suppression of the revolt""]",False,True
2088,main,the part of the cytoskeleton made from the protein actin is called,"[""Microfilaments"", ""microfilament""]",True,True
2092,main,where does the term the west come from,"[""the Roman Empire""]",False,True
2096,main,where's the tv show the crossing filmed,"[""British Columbia, Canada""]",False,True
2099,main,who sang one bad apple spoils the bunch,"[""The Osmonds""]",True,True
2108,main,when was the last time mount ruapehu erupted,"[""25 September 2007""]",False,True
2109,main,character in macbeth who is murdered and appears as a ghost,"[""Lord Banquo"", ""Banquo""]",True,True
2115,main,who did the central powers defeat on the eastern front before concentrating back on france,"[""the Russian army""]",False,True
2126,main,when did the jurassic park movies come out,"[""Jurassic Park (1993)"", ""2001"", ""2015"", ""2018"", ""1993"", ""Jurassic World (2015)"", ""1997""]",True,True
2128,main,what class of ship is the carnival glory,"[""Conquest"", ""Conquest-class cruise ship""]",False,True
2133,main,who is the oldest wrestler that is still wrestling,"[""Dory Funk Jr.""]",False,True
2134,main,who developed a set of postulates to prove that specific microorganisms cause disease,"[""Robert Koch"", ""Friedrich Loeffler""]",True,True
2135,main,what's the name of the last mission impossible movie,"[""Mission: Impossible \u2013 Fallout""]",True,True
2144,main,who sang the songs on walk the line,"[""Reese Witherspoon"", ""Tyler Hilton"", ""Waylon Payne"", ""Johnathan Rice"", ""Shooter Jennings"", ""Joaquin Phoenix""]",True,True
2145,main,who is playing the halftime show for the superbowl,"[""Justin Timberlake""]",False,True
2146,main,german word for pleasure from someone else's pain,"[""Schadenfreude""]",True,True
2167,main,when is the next deadpool movie being released,"[""May 18, 2018""]",True,True
2170,main,what percentage of the earth's surface is water,"[""78%"", ""roughly 78%""]",True,True
2172,main,who became king of erebor after thorin dies,"[""D\u00e1in"", ""his cousin D\u00e1in""]",True,True
2184,main,when did chicano studies become major studies programs on college campuses,"[""By 1975"", ""1972""]",True,True
2211,main,who won the world cup in cricket 2017,"[""Pakistan""]",True,True
2213,main,where does the water from the california aqueduct come from,"[""Sierra Nevada Mountains"", ""the Sierra Nevada Mountains""]",False,True
2218,main,a political leader during the roman empire was called,"[""emperors""]",True,True
2223,main,how many wing stops are there in the united states,"[""1,000"", ""more than 1,000""]",False,True
2226,main,what is the second book in the alchemyst series,"[""The Magician""]",False,True
2235,main,what was the name of atom bomb dropped by usa on hiroshima,"[""Little Boy""]",True,True
2263,main,when did the international space station go into space,"[""1998""]",True,True
2275,main,when did harvard become an ivy league school,"[""1945""]",False,True
2277,main,who proposed that electrons behave like waves and particles,"[""Einstein""]",True,True
2284,main,how many co2 molecules are produced in aerobic respiration,"[""6""]",True,True
2286,main,who is the father of genetics and what did he study,"[""the common edible pea"", ""Mendel"", ""pea plants"", ""variation in plants"", ""Gregor Mendel""]",True,True
2295,main,what is the ultimate objective of financial management,"[""Profit maximization""]",True,True
2297,main,when did under the cork tree come out,"[""May 3, 2005""]",True,True
2306,main,who won the 2018 women's royal rumble match,"[""Asuka""]",True,True
2310,main,what is the name of the under butler in downton abbey,"[""Charles Carson"", ""Mr Carson""]",True,True
2318,main,what is the main industry in the canadian shield,"[""mining""]",True,True
2325,main,where does fungi go on a food web,"[""the end"", ""decomposers"", ""At the end""]",True,True
2329,main,which indian actor has won most national awards,"[""Amitabh Bachchan""]",True,True
2332,main,role of malonyl coa in fatty acid synthesis,"[""chain elongation""]",True,True
2337,main,when was the last time michigan basketball won the championship,"[""1989""]",True,True
2340,main,who wins america's next top model cycle 20,"[""Jourdan Miller""]",False,True
2349,main,when did avatar the last airbender first air,"[""February 2005"", ""February 21, 2005"", ""February\u00a021,\u00a02005""]",True,True
2366,main,who proposed evolution in 1859 as the basis of biological development,"[""Alfred Russel Wallace"", ""Charles Darwin""]",True,True
2373,main,when did the movie breakfast club come out,"[""February 15, 1985"", ""February\u00a015,\u00a01985"", ""1985""]",True,True
2379,main,when did the nba start playing zone defense,"[""2002"", ""the 2001\u20132002 season""]",True,True
2391,main,what city was zeus the patron god of,"[""Olympia"", ""Elis""]",True,True
2393,main,who is the richest club in the championship,"[""Manchester City"", ""Aston Villa""]",True,True
2398,main,where does iron ore come from in australia,"[""Western Australia""]",True,True
2401,main,what do you say when you win bingo,"[""Yes"", ""Bingo"", ""Line"", ""House""]",True,True
2404,main,philadelphia is known as the city of what,"[""City of Brotherly Love"", ""Brotherly Love""]",False,True
2425,main,who won the mens curling in the olympics 2018,"[""United States""]",True,True
2430,main,country with most olympic gold medals all time,"[""United States""]",True,True
2458,main,who is the most selling music artist of all time,"[""The Beatles""]",True,True
2468,main,where did they live in sex and the city,"[""New York City""]",True,True
