qid,arm,first_verdict,second_verdict,second_reason,cost_total_billed,agreement,n
1594,refine_np64,True,True,"Hanno II the Great is the same figure as the gold answer ""Hanno the Great,"" merely with the regnal numeral added.",0.004315,1.0,60
1969,pq_np256,True,True,"The candidate states channel 15 (KNXV), matching the gold answer, with the correct call sign as extra detail.",0.003985,1.0,60
2337,pca_uc_384_sq8_np512,False,False,"The candidate declines to answer, failing to state the gold fact of 1989.",0.003655,1.0,60
2318,refine_np64,False,False,"The candidate declines to answer, providing no identification of mining as the main industry.",0.00364,1.0,60
1816,sq8_np512,False,False,"The candidate says it does not know, failing to state the gold answer Scott Blumstein.",0.003765,1.0,60
1800,sq8_np64,True,True,"The candidate identifies filming locations in Utah (Sundance/Mount Timpanogos near Provo), matching the gold answer with added specific detail.",0.004435,1.0,60
2306,mrl_512_sq8_np512,True,True,"The candidate answer states Asuka, matching the gold answer exactly.",0.003635,1.0,60
3480,sq8_np4,False,False,"The candidate declines to answer, providing no factual content matching the gold answer of season four.",0.00376,1.0,60
508,sq8_np16,False,False,"The candidate declines to answer, providing no factual claim matching either gold answer.",0.003695,1.0,60
2325,mrl_512_sq8_np512,True,True,"The candidate identifies fungi as decomposers, matching a gold answer exactly with added accurate detail (saprotrophs).",0.004225,1.0,60
518,sq8_np512,True,True,"The candidate names both Hammond, Louisiana and Covington, Georgia, matching gold answers, with accurate additional detail about the season timing.",0.00462,1.0,60
2223,pca_uc_512_sq8_np512,False,False,"The candidate declined to provide any value, stating it does not know, which fails to state the fact.",0.003785,1.0,60
3183,refine_np64,True,True,"The Payaya were the indigenous inhabitants of the San Antonio area, matching the gold answer 'varying cultures of indigenous peoples'.",0.00595,1.0,60
279,sq8_np4,False,False,"The candidate says it does not know, failing to provide the gold answer InterContinental Hotels Group.",0.003915,1.0,60
3276,pca_uc_512_sq8_np512,True,True,"The candidate answers ""Lifetime,"" matching the gold answer of lifetime Secret Service protection for former presidents.",0.004125,1.0,60
2391,sq8_np64,False,False,"The candidate declines to answer, providing no fact, so it cannot match either gold answer.",0.003765,1.0,60
1032,sq8_np16,False,False,"The candidate names mantle convection rather than the gold answer ""continental drift,"" stating a different fact than required.",0.005715,1.0,60
2297,sq8_np512,True,True,"The candidate gives May 3, 2005, matching the gold answer exactly.",0.00369,1.0,60
1641,sq8_np16,True,True,"The candidate states the second Sunday of March, matching the gold answer, with accurate extra detail about the 2 a.m. clock change.",0.004205,1.0,60
2337,sq8_np64,False,False,"The candidate explicitly says it does not know and never states 1989, so it fails to provide the required fact.",0.004145,1.0,60
1094,refine_np64,False,False,"The candidate explicitly says it does not know, providing no answer matching the gold answer ""II"".",0.00383,1.0,60
1767,sq8_np512,False,False,"The candidate says it does not know, failing to identify Elena Anaya as the actress playing Doctor Poison.",0.00405,1.0,60
1832,sq8_np8,True,True,Bob Geldof matches a gold answer as the actor who played Pink in Pink Floyd – The Wall.,0.0043,1.0,60
3323,parametric,False,False,"The candidate declines to answer, providing no factual content matching the gold answers.",0.003825,1.0,60
2051,parametric,False,False,"The candidate says it does not know, providing no factual answer.",0.0035,1.0,60
642,sq8_np16,True,True,"The candidate states 1876, matching the gold answer exactly.",0.003565,1.0,60
319,pca_uc_512_sq8_np512,True,True,"The candidate answer matches the gold answer exactly, stating September 21, 2017.",0.003785,1.0,60
1574,pca_uc_384_sq8_np512,True,True,"The candidate answer matches the gold answer exactly, stating the crash occurred on October 20, 1977.",0.00396,1.0,60
1423,mrl_512_sq8_np512,True,True,"The candidate answer names Ed Roland, exactly matching the gold answer.",0.00369,1.0,60
