qid,question,expected_files,expected_symbols,difficulty,category,notes,scaling_subset,in_stuffed_prefix,expected_files_last_modified,excluded,exclusion_reason
q19,"What does FastAPI.openapi() call to build the schema, and what makes repeated calls cheap?",fastapi/applications.py;fastapi/openapi/utils.py,openapi;get_openapi,trace,openapi,Caching behaviour is the second half of the answer,false,all,2026-07-29T16:31:28+02:00,false,
q20,What routes does FastAPI.setup() add to the application?,fastapi/applications.py;fastapi/openapi/docs.py,setup;get_swagger_ui_html;get_redoc_html;get_swagger_ui_oauth2_redirect_html,trace,openapi,Four registered routes; partial answers are visible in the symbol score,false,all,2026-07-29T16:31:28+02:00,false,
q21,What does get_dependant call for each parameter in an endpoint's signature?,fastapi/dependencies/utils.py,get_dependant;analyze_param,trace,dependencies,Single-file trace; the callee name is not guessable from the caller,true,all,2026-07-27T17:16:40Z,false,
q22,What does solve_dependencies call to turn the incoming request into endpoint arguments?,fastapi/dependencies/utils.py,solve_dependencies;request_params_to_args;request_body_to_args,trace,dependencies,Two distinct callees covering params and body,true,all,2026-07-27T17:16:40Z,false,
q23,What does HTTPBearer.__call__ do when the Authorization header's scheme is not bearer?,fastapi/security/http.py,HTTPBearer;make_not_authenticated_error,trace,security,Behaviour depends on auto_error; both branches are part of the answer,false,all,2026-03-16T11:16:48+01:00,false,
q24,"What does contextmanager_in_threadpool do with the context manager's __exit__, and why does it use a separate capacity limiter?",fastapi/concurrency.py,contextmanager_in_threadpool,trace,concurrency,The why is written in a comment in the source; unlikely to be recalled parametrically,false,all,2025-12-17T21:25:59Z,false,
q25,What does FastAPI.build_middleware_stack() add that Starlette's version does not?,fastapi/applications.py;fastapi/middleware/asyncexitstack.py,build_middleware_stack;AsyncExitStackMiddleware,trace,middleware,Override exists solely to insert one middleware,false,all,2026-07-29T16:31:28+02:00,false,
q26,What does generate_unique_id use to build a route's operation ID?,fastapi/utils.py,generate_unique_id,trace,openapi,Small function; answer is the exact composition of name path and method,false,all,2026-02-11T18:41:21Z,false,
q27,"What does calling Depends() return, and what is that object's type?",fastapi/param_functions.py;fastapi/params.py,Depends,trace,dependencies,The function and the class share a name across two files,false,all,2026-05-11T16:59:50+02:00,false,
q28,"What does format_sse_event produce for an event that has data, an event name and an id?",fastapi/sse.py,format_sse_event;ServerSentEvent,trace,streaming,Recent module; wire-format detail is in the source not in the docs,false,all,2026-07-28T15:14:58Z,false,
q29,What does the background-tasks tutorial's get_query dependency do with the BackgroundTasks object?,docs_src/background_tasks/tutorial002_an_py310.py,get_query;write_log,trace,docs examples,Short example file; tests retrieval precision among tutorial variants,false,all,2023-03-18T13:29:59+01:00,false,
q30,What does the release-preparation script do to the version file?,scripts/prepare_release.py,bump_version;update_version_file;prepare,trace,tooling,Repo tooling; outside the library and its tests,false,none,2026-05-31T16:00:38Z,false,
q31,"When request parsing raises a validation error, which handler formats the 422 response and where is that handler registered on the application?",fastapi/exception_handlers.py;fastapi/applications.py,request_validation_exception_handler;RequestValidationError,multi_hop,errors,Crosses handler definition and its registration site,true,all,2026-07-29T16:31:28+02:00,false,
q32,"How does a dependency declared with yield get its cleanup code run after the response, and which middleware makes that possible?",fastapi/dependencies/utils.py;fastapi/middleware/asyncexitstack.py;fastapi/applications.py,solve_dependencies;AsyncExitStackMiddleware;build_middleware_stack,multi_hop,dependencies,Three hops: solver exit stack middleware and where it is installed,false,all,2026-07-29T16:31:28+02:00,false,
q33,How does a Query(...) declaration on an endpoint parameter end up as a parameter entry in the generated OpenAPI document?,fastapi/param_functions.py;fastapi/params.py;fastapi/openapi/utils.py,Query;get_openapi_path;_get_openapi_operation_parameters,multi_hop,openapi,Declaration to field to schema; three files,false,all,2026-07-27T17:16:40Z,false,
q34,How does an endpoint whose return value does not match its response model produce a server error rather than a malformed response?,fastapi/routing.py;fastapi/exceptions.py,serialize_response;ResponseValidationError,multi_hop,serialization,Validation failure path on the response side rather than the request side,false,all,2026-07-29T19:04:36+02:00,false,
q35,"How is the OpenAPI schema served over HTTP, and what stops it being regenerated on every request?",fastapi/applications.py;fastapi/openapi/utils.py,setup;openapi;get_openapi,multi_hop,openapi,Route registration plus the caching attribute,false,all,2026-07-29T16:31:28+02:00,false,
q36,How does include_router combine a router's prefix tags and dependencies with those already on the parent?,fastapi/applications.py;fastapi/routing.py,include_router,multi_hop,routing,Same method name on both the app and the router,false,all,2026-07-29T19:04:36+02:00,false,
q37,How does a parameter annotated as SecurityScopes get populated for a dependency declared with Security(...)?,fastapi/security/oauth2.py;fastapi/dependencies/utils.py;fastapi/params.py,SecurityScopes;Security;get_dependant;solve_dependencies,multi_hop,security,Declaration analysis at build time and population at solve time,true,all,2026-07-27T17:16:40Z,false,
q38,How is the documentation example for dependencies with yield exercised by the test suite?,docs_src/dependencies/tutorial008_an_py310.py;tests/test_tutorial/test_dependencies/test_tutorial008.py,dependency_a;dependency_b,multi_hop,tests,Links an example file to the test that imports it,false,all,2026-02-12T14:19:43+01:00,false,
q39,"How does a translated documentation page get built, and what determines which languages exist?",scripts/docs.py;.github/workflows/build-docs.yml,build_lang;get_lang_paths;langs,multi_hop,docs tooling,Crosses tooling and CI; neither file is Python library code,false,none,2026-08-07T19:06:24+02:00,false,
q40,"How does an uploaded file reach an endpoint parameter declared with File(), and what type does the endpoint receive?",fastapi/param_functions.py;fastapi/params.py;fastapi/datastructures.py;fastapi/dependencies/utils.py,File;UploadFile;request_body_to_args;_extract_form_body,multi_hop,request parsing,Four-file path from declaration through form extraction to the value,false,all,2026-07-27T17:16:40Z,false,
