qid,question,golds,answer,judge_reason,label,auditor
1028,where are the winter olympics and when do they start,"[""Pyeongchang County, South Korea"", ""Pyeongchang, South Korea"", ""9 to 25 February 2018"", ""9 February""]","The 2022 Winter Olympics were held in Beijing, China, starting February 4.","The candidate names Beijing 2022 starting February 4, which differs from the gold answer of Pyeongchang, South Korea beginning 9 February 2018.",,
1032,what process causes the continents to drift apart how,"[""Continental drift""]",Mantle convection,"The gold answer is ""continental drift""; the candidate instead names mantle convection, a different stated fact than the expected answer.",,
1056,who is the highest selling r&b artist of all time,"[""Rihanna"", ""Michael Jackson""]",R. Kelly,"R. Kelly does not match either accepted gold answer (Rihanna or Michael Jackson), so it states a different fact.",,
1065,when do love and hip hop new york come back on,"[""November\u00a013,\u00a02017"", ""October 30, 2017""]","December 16, 2019","The candidate gives December 16, 2019, which does not match either gold answer of November 13, 2017 or October 30, 2017.",,
1103,the cuban revolt against spain was led by,"[""M\u00e1ximo Gomez"", ""Antonio Maceo"", ""Jos\u00e9 Mart\u00ed""]",Carlos Manuel de Céspedes,"Céspedes led the earlier Ten Years' War and is not among the accepted leaders (Martí, Gómez, Maceo) of the revolt referenced.",,
1106,colby chees is named after a town in what state,"[""Wisconsin""]",Kansas,"Colby cheese is named after Colby, Wisconsin, not Kansas, so the answer states a different fact.",,
1125,where are the next two winter olympics going to be held,"[""Beijing"", ""TBD""]","The next two Winter Olympics will be held in Milan and Cortina d'Ampezzo, Italy (2026).","Candidate names Milan–Cortina 2026, not matching the gold answers (Beijing and TBD), and identifies only one host city despite the question asking for two.",,
1148,who won the 30 man royal rumble match,"[""Shinsuke Nakamura"", ""Randy Orton""]",Drew McIntyre won the 2020 Royal Rumble match.,The gold answers are Shinsuke Nakamura or Randy Orton; naming Drew McIntyre states a different fact.,,
1279,who has the highest paid contract in the nba,"[""Stephen Curry""]",Damian Lillard,"The candidate names Damian Lillard, which differs from the gold answer Stephen Curry.",,
1282,who got the most passing yards in the nfl,"[""Peyton Manning""]",Tom Brady,"The candidate names Tom Brady, which differs from the gold answer Peyton Manning.",,
1313,who did the astros play last time they were in the world series,"[""White Sox"", ""Los Angeles Dodgers""]","Based on passage [4], the last time before 2021 that the Astros were in the World Series (2019), they lost to the Washington Nationals — but the question asks about their most recent World Series appearance overall, which was in 2021 against the **Atlanta Braves**.","The candidate names the Atlanta Braves (and Washington Nationals), neither of which matches the gold answers of the White Sox or Los Angeles Dodgers.",,
1322,when was i can only imagine the song released,"[""1999"", ""2001""]",I Can Only Imagine (from *Nothing but the Beat*) was released as a single on **2 May 2012**.,"The candidate cites a 2012 David Guetta single, not the MercyMe song released in 1999/2001, so it states a different fact.",,
1370,when does the mlb season start and finish,"[""March 29"", ""October 31, 2018""]",The 2021 MLB season began on April 1 and the regular season ended on October 3.,"The candidate gives 2021 season dates (April 1–October 3), which differ from the gold answers of March 29 and October 31, 2018.",,
1376,who played tom on as the world turns,"[""Jason Kincaid (1984)"", ""Jason Kincaid"", ""C. David Colson"", ""Peter Galman"", ""Scott Holmes"", ""Gregg Marx"", ""Justin Deas"", ""others"", ""Tom Tammi""]",Daniel Manche,Daniel Manche is not among the recognized actors who portrayed Tom Hughes on As the World Turns.,,
1433,who did virginia cavaliers lose to in basketball this year,"[""Virginia Tech"", ""West Virginia"", ""UMBC""]",Syracuse,"Syracuse is not among the accepted gold answers (Virginia Tech, West Virginia, UMBC), so the response states a different fact.",,
1480,where was the first t20 cricket match played,"[""Lord's""]","England and New Zealand, in August 2004.","The candidate names countries and a date rather than the venue Lord's, stating a different fact and failing to identify the required location.",,
1496,what culture region is germany a part of,"[""Central Germany""]",Germanic culture,"The candidate says ""Germanic culture,"" which does not match the gold answer ""Central Germany,"" a distinct geographic/cultural region.",,
1501,what song did the titanic band play when it sank,"[""\""Autumn\""""]","""Nearer, My God, to Thee""","The gold answer specifies ""Autumn,"" while the candidate names a different tune, ""Nearer, My God, to Thee,"" which does not match the accepted fact.",,
1538,most consecutive games with 20+ points - nba history,"[""126""]","Carmelo Anthony, 31 consecutive games",The gold answer is 126 consecutive games (Wilt Chamberlain); the candidate's 31 games for Carmelo Anthony states a different fact.,,
1542,when did american idol end the first time,"[""April 7, 2016""]","American Idol (season 15), which premiered January 6, 2016, was the series' final season to air on Fox.","The candidate gives the premiere date of the final season, not the April 7, 2016 finale date, failing to state when the show ended.",,
1660,what's the biggest nfl stadium in the united states,"[""Michigan Stadium"", ""MetLife Stadium""]",Los Angeles Memorial Coliseum,"The candidate names Los Angeles Memorial Coliseum, which matches neither gold answer (Michigan Stadium or MetLife Stadium).",,
1699,who won the marathon in new york city,"[""Geoffrey Kamworor""]",Geoffrey Mutai (men's) and Firehiwot Dado (women's) won the 2011 New York City Marathon.,"The candidate names Geoffrey Mutai and Firehiwot Dado for 2011, not the gold answer Geoffrey Kamworor, so it states a different fact.",,
1770,when did indoor toilets become common in america,"[""After World War I""]",1890s,"The candidate says 1890s, which differs from the gold answer of after World War I (post-1918).",,
1804,who are the two teams in super bowl 2018,"[""New England Patriots"", ""Philadelphia Eagles""]","Super Bowl LIII (played February 2019, for the 2018 season) featured the New England Patriots and the Los Angeles Rams.","The question refers to Super Bowl LII (February 2018), Patriots vs. Eagles; the candidate names the Rams instead of the Eagles, stating a different fact.",,
1811,who does dwyane wade play for right now,"[""the Miami Heat"", ""Miami Heat""]",Dwyane Wade is retired.,"The candidate says Wade is retired rather than naming the Miami Heat, so it does not state the required fact.",,
1837,industrial city in germany on the rhine herne canal,"[""Henrichenburg"", ""Duisburg""]",Herne,"The candidate names Herne, which is not among the accepted gold answers (Henrichenburg or Duisburg), so it states a different fact.",,
1842,when was penicillin first introduced to the public,"[""After World War II"", ""1942""]",June 1946,"The candidate gives June 1946, which does not match either gold answer of 1942 (or the general ""after World War II"" framing tied to that introduction).",,
1916,when did ohio state join the big 10,"[""1912""]",1913,"The candidate states 1913, which differs from the gold answer of 1912 (when Ohio State was admitted to the conference).",,
1940,who is the present rajya sabha speaker of india,"[""Venkaiah Naidu""]","The Vice President of India serves as the Chairman (Speaker) of the Rajya Sabha, but based on the passages provided, I don't know","The candidate explicitly says it does not know the current officeholder and never names Venkaiah Naidu, so it fails to state the required fact.",,
1952,who devised the fingerprint classification still used today in europe and the us,"[""Hem Chandra Bose"", ""Azizul Haque"", ""Sir Edward Henry""]",Francis Galton,Galton is not among the gold answers; the classification system in use is the Henry system devised by Edward Henry with Haque and Bose.,,
1964,how many series of diary of a wimpy kid are there,"[""12""]",Eighteen books,"The candidate says eighteen books, which differs from the gold answer of 12.",,
1999,the nurses' health study is an example of what type of study,"[""long-term"", ""prospective"", ""prospective studies""]",Cohort study,"The gold answers specify ""prospective""/""long-term""; ""cohort study"" is a different classification (cohort studies can be retrospective) and omits the key prospective descriptor.",,
2003,what nba player has scored the most 3 pointers,"[""Ray Allen""]",Stephen Curry,"The candidate names Stephen Curry, which does not match the gold answer Ray Allen.",,
2064,what is the population of the tri-cities washington,"[""283,846"", ""over 300,000""]","220,959","The candidate's figure of 220,959 differs from the accepted values of 283,846 or over 300,000, stating a different population fact.",,
2070,who sang my bucket got a hole in it,"[""Hank Williams""]",Sonny Burgess,"The candidate names Sonny Burgess, not Hank Williams, the gold answer, so it states a different fact.",,
2083,what was the result of the revolt of 1857,"[""British victory"", ""Suppression of the revolt""]",The East India Company's power was transferred to the British Crown.,The candidate names a political consequence (Crown rule) rather than stating the revolt's outcome—British victory/suppression—so it does not match the gold fact.,,
2092,where does the term the west come from,"[""the Roman Empire""]","The term ""the West"" derives from the Germanic word for ""west,"" rooted in the Indo-European root *wes* (reduced from *wes-pero*, meaning ""evening, night""), reflecting the direction of the setting sun.","The gold answer attributes the term's origin to the Roman Empire's east-west division, while the candidate gives an etymological derivation from Indo-European roots, a different fact.",,
2108,when was the last time mount ruapehu erupted,"[""25 September 2007""]",13 July 2009,"The candidate gives 13 July 2009, a different date than the gold answer of 25 September 2007.",,
2133,who is the oldest wrestler that is still wrestling,"[""Dory Funk Jr.""]",Great Kojika,"The candidate names Great Kojika, a different wrestler than the gold answer Dory Funk Jr.",,
2135,what's the name of the last mission impossible movie,"[""Mission: Impossible \u2013 Fallout""]",Mission: Impossible – Dead Reckoning Part One,"The candidate names Dead Reckoning Part One, a different film from the gold answer Mission: Impossible – Fallout.",,
2145,who is playing the halftime show for the superbowl,"[""Justin Timberlake""]","Maroon 5 (with Big Boi and Travis Scott), for Super Bowl LIII.","The candidate names Maroon 5 for Super Bowl LIII, not the gold answer Justin Timberlake, so it states a different fact.",,
2167,when is the next deadpool movie being released,"[""May 18, 2018""]","May 3, 2024","The candidate gives May 3, 2024, which differs from the gold answer of May 18, 2018.",,
2170,what percentage of the earth's surface is water,"[""78%"", ""roughly 78%""]",70.8%,"The candidate gives 70.8%, which differs from the accepted answer of roughly 78%.",,
2211,who won the world cup in cricket 2017,"[""Pakistan""]","England won the 2017 Women's Cricket World Cup, defeating India in the final.","The expected answer is Pakistan (2017 Champions Trophy), whereas the candidate names England, a different fact from the gold answer.",,
2213,where does the water from the california aqueduct come from,"[""Sierra Nevada Mountains"", ""the Sierra Nevada Mountains""]","The California Aqueduct's water comes from the Sacramento-San Joaquin Delta (originating at the Clifton Court Forebay), transferring water from Northern California.","The candidate cites the Sacramento-San Joaquin Delta/Clifton Court Forebay rather than the Sierra Nevada Mountains named in the gold answers, stating a different fact.",,
2218,a political leader during the roman empire was called,"[""emperors""]",Augustus,"The gold answer is the title ""emperor""; ""Augustus"" names a specific individual rather than the general term for a Roman Empire political leader.",,
2275,when did harvard become an ivy league school,"[""1945""]",1954,"The candidate states 1954, which differs from the gold answer of 1945.",,
2277,who proposed that electrons behave like waves and particles,"[""Einstein""]",Louis de Broglie,"The candidate names de Broglie, a different person than the gold answer Einstein.",,
2284,how many co2 molecules are produced in aerobic respiration,"[""6""]",2 CO2 molecules (per acetyl-CoA in the Krebs cycle),"The gold answer is 6 CO2 per glucose in aerobic respiration; the candidate gives 2 per acetyl-CoA, a different value not matching the expected fact.",,
2295,what is the ultimate objective of financial management,"[""Profit maximization""]",Maximisation of shareholders wealth.,"The gold answer specifies profit maximization, while the candidate states shareholder wealth maximization, a distinct and different objective.",,
2310,what is the name of the under butler in downton abbey,"[""Charles Carson"", ""Mr Carson""]",Thomas Barrow,"The candidate names Thomas Barrow, which does not match either accepted gold answer (Charles Carson/Mr Carson).",,
2404,philadelphia is known as the city of what,"[""City of Brotherly Love"", ""Brotherly Love""]","Philadelphia is known as the ""City of Brotherly Love""

I don't know

Wait — that answer is not supported by the passages provided.

I don't know","Although it mentions ""City of Brotherly Love,"" the response ultimately retracts it and states ""I don't know,"" failing to commit to an answer.",,
2504,the first significant restriction on free immigration in u.s. history was the,"[""Naturalization Act of 1790"", ""Chinese Exclusion Act in 1882""]",The Page Act of 1875.,"The candidate names the Page Act of 1875, which does not match either gold answer (Naturalization Act of 1790 or Chinese Exclusion Act of 1882).",,
2514,where will the next summer and winter olympics be held,"[""Beijing"", ""Tokyo""]","Based on the passages: the next Winter Olympics will be held in Milan and Cortina d'Ampezzo, Italy (2026).

I don't know (regarding the next Summer Olympics location, as the passages do not specify it).","The candidate names Milan-Cortina 2026 and declines on the Summer host, matching neither gold answer (Beijing or Tokyo).",,
2531,explorer who led an early voyage to the coast of newfoundland,"[""Jacques Cartier""]",John Cabot,"The candidate names John Cabot, a different explorer than the gold answer Jacques Cartier.",,
2571,when did the movie peter pan come out,"[""2003"", ""25\u00a0December\u00a02003""]",1953,"The candidate gives 1953 (the Disney animated film), which does not match the gold answers of 2003.",,
2576,what type of reaction occurs to form a dipeptide,"[""peptide bond""]",Esterification,"Esterification is a different reaction; dipeptides form via a condensation/dehydration reaction creating a peptide (amide) bond, not an ester linkage.",,
2611,what was the name of darth vader star destroyer,"[""Devastator"", ""the Devastator""]",Executor,"The candidate names the Executor, which does not match the gold answer Devastator.",,
2636,who has the most conference championships in college basketball,"[""Kansas""]",Purdue,"The candidate names Purdue, which differs from the gold answer Kansas, the program with the most conference championships.",,
2788,who has won the mens singles title in the australian open tennis tournament,"[""Roger Federer""]",Novak Djokovic,"The gold answer is Roger Federer, but the candidate names Novak Djokovic, a different player, so it does not match the accepted fact.",,
2851,who gets the golden boot if its a tie,"[""shared""]","Based on the passages, if players are tied in goals for the Golden Boot, the award goes to the player with the most assists during the tournament.","The gold answer states the award is shared in a tie, whereas the candidate claims it goes to the player with the most assists, a different fact.",,
2873,when was the last time it snowed in england on christmas day,"[""2009""]",2010,"The candidate states 2010, which differs from the accepted answer of 2009.",,
2921,who was the buccaneers qb when they won the superbowl,"[""Brad Johnson""]",Tom Brady,"The gold answer is Brad Johnson; the candidate names Tom Brady, a different quarterback than the one accepted.",,
2948,where was held the first session of muslim league,"[""Dhaka, Bangladesh"", ""Lucknow""]","Karachi, 1907","The candidate names Karachi, which does not match either accepted answer (Dhaka or Lucknow), so it states a different fact.",,
3081,when did john steinbeck write of mice and me,"[""1937""]","John Steinbeck wrote *Of Mice and Men* in 1936, while living in Monte Sereno, California.","The candidate states 1936, a different year than the gold answer of 1937 (the novella's publication year).",,
3088,when does the second half of vikings season 5 air,"[""2018"", ""in 2018""]","November 29, 2017","The candidate gives November 29, 2017, which is the first half's premiere date, not 2018 when the second half aired.",,
3118,who won the medals in men's figure skating 2018,"[""Yuzuru Hanyu"", ""Javier Fern\u00e1ndez"", ""Shoma Uno""]","Based on passage [4], at the 2018 Winter Olympics team event men's segment, Nathan Chen placed first, Shoma Uno second, and Mark Kondratiuk's teammate placed third in the short program referenced — but individual event medals are not fully specified in the passages.

I don't know","The candidate fails to name the gold medalists, gives incorrect team-event details, and explicitly states it does not know the individual medalists.",,
3119,who ruled the ottoman empire in the 1500s,"[""Selim I""]",Bayezid II,"The candidate names Bayezid II, a different ruler than the accepted answer Selim I.",,
3135,who is directly elected according to the constitution,"[""senators""]",Members of the House of Representatives,"The gold answer identifies senators as directly elected under the constitution (Seventeenth Amendment), whereas the candidate names House members, a different fact.",,
3211,when did the new day win the tag team titles,"[""2016""]",Extreme Rules 2015,"The candidate gives 2015 (Extreme Rules), which differs from the gold answer of 2016.",,
3224,the xix of the social security act of 1965 established,"[""Medicaid""]",Medicare and Medicaid,Title XIX established only Medicaid; including Medicare (Title XVIII) states an additional incorrect fact rather than the specific gold answer.,,
3239,when did the tradition of self government began in america,"[""1783""]","**1619**, with the establishment of the House of Burgesses in Virginia.","The candidate gives 1619 (House of Burgesses), which differs from the gold answer of 1783.",,
3312,where is the second largest mall in america,"[""Florida"", ""Aventura, Florida""]","American Dream Meadowlands, in New Jersey.","The candidate names American Dream in New Jersey, which conflicts with the gold answer identifying Aventura, Florida as the second largest mall's location.",,
3417,who does betty end up with on riverdale,"[""Archie Andrews""]",Jughead,"The candidate names Jughead, whereas the gold answer states Betty ends up with Archie Andrews, so it states a different fact.",,
3434,who was the first black person to register to vote,"[""Thomas Mundy Peterson""]",Hartman Turnbow,"The candidate names Hartman Turnbow, not Thomas Mundy Peterson, the gold answer, so it states a different fact.",,
3453,where can you find convergent boundaries on earth,"[""Mariana Trench""]","Convergent boundaries are found mostly around the Pacific Ocean, as well as in the eastern Indian Ocean, parts of the Atlantic Ocean, and the Mediterranean.","The candidate gives broad ocean regions rather than the specific gold answer, the Mariana Trench, so it does not state the required fact.",,
3480,when does elena turn into a vampire in the tv series,"[""season four"", ""fourth season""]","Elena begins her transition into a vampire in the season 3 finale episode ""The Departed.""","The gold answer identifies season four, while the candidate commits to the season 3 finale, a different fact.",,
3497,where are they building the new raiders stadium,"[""Paradise, Nevada"", ""in Paradise, Nevada""]","Las Vegas, Nevada","Allegiant Stadium is in unincorporated Paradise, Nevada, not within Las Vegas city limits, so the answer names a different locality than the gold answer.",,
3552,what episode does marnie come back in geordie shore,"[""5""]",Series 12,"The gold answer is episode 5, while the candidate states Series 12, a different fact that does not match.",,
3570,who is rose in the fall season 2,"[""Valene Kane""]",Rose Veronica Stagg (née McGill),"The question seeks the actress who plays Rose (Valene Kane); the candidate instead gives the character's full name, a different fact.",,
3595,which british city is farthest from the sea,"[""Coton in the Elms""]",Derby,The gold answer is Coton in the Elms; Derby is a different place and does not match the accepted answer.,,
