qid,arm,subset,recall_at_10,answer_presence_at_10,presence_wb,idk,idk_corrected,judge_correct,gt_presence_old,gt_presence_wb,degenerate_golds,in_primary
337,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,True,True,False,True
350,mrl_512_sq8_np512,main,0.7,True,True,False,False,False,True,True,False,True
352,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
371,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
382,mrl_512_sq8_np512,main,0.9,False,False,False,False,True,False,False,False,False
399,mrl_512_sq8_np512,main,1.0,True,True,False,False,True,True,True,False,True
400,mrl_512_sq8_np512,main,0.8,True,True,False,False,False,True,True,False,True
416,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,True,True,False,True
419,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
421,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,True,True,False,True
422,mrl_512_sq8_np512,main,1.0,True,True,False,False,True,True,True,False,True
424,mrl_512_sq8_np512,sanity,0.8,True,True,True,True,False,True,True,False,False
433,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
442,mrl_512_sq8_np512,main,0.9,True,False,False,False,True,True,False,False,False
444,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
447,mrl_512_sq8_np512,main,0.6,False,False,False,False,True,False,False,False,False
450,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
453,mrl_512_sq8_np512,main,0.8,True,True,False,False,False,True,True,False,True
462,mrl_512_sq8_np512,sanity,0.6,False,False,True,True,False,False,False,False,False
476,mrl_512_sq8_np512,main,0.6,True,False,False,False,True,True,False,False,False
478,mrl_512_sq8_np512,sanity,0.8,True,True,False,False,True,True,True,False,False
482,mrl_512_sq8_np512,main,0.8,True,True,True,True,False,True,True,False,True
484,mrl_512_sq8_np512,main,0.9,True,True,True,True,False,True,True,False,True
486,mrl_512_sq8_np512,main,0.8,False,False,False,False,True,True,True,False,True
488,mrl_512_sq8_np512,main,0.9,False,False,False,False,False,False,False,False,False
491,mrl_512_sq8_np512,main,0.9,True,False,True,True,False,True,False,False,False
496,mrl_512_sq8_np512,main,0.8,False,False,False,False,False,True,True,False,True
501,mrl_512_sq8_np512,main,1.0,True,True,False,False,True,True,True,False,True
508,mrl_512_sq8_np512,main,0.8,True,True,True,True,False,True,True,False,True
513,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
518,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
519,mrl_512_sq8_np512,sanity,0.8,True,True,True,True,False,True,True,False,False
523,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
524,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
531,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,False,False,False,False
535,mrl_512_sq8_np512,sanity,0.8,True,True,True,True,False,True,True,False,False
537,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
551,mrl_512_sq8_np512,main,0.9,True,False,True,True,False,True,False,True,False
552,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
553,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
559,mrl_512_sq8_np512,main,0.6,False,False,True,True,False,True,True,False,True
565,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
571,mrl_512_sq8_np512,sanity,0.9,True,True,False,False,True,True,True,False,False
590,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,True,True,False,True
591,mrl_512_sq8_np512,main,0.6,False,False,True,True,False,False,False,False,False
604,mrl_512_sq8_np512,main,0.3,False,False,True,True,False,False,False,False,False
606,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
614,mrl_512_sq8_np512,main,0.8,True,True,False,False,False,True,True,False,True
617,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
619,mrl_512_sq8_np512,sanity,0.9,False,False,True,True,False,False,False,False,False
621,mrl_512_sq8_np512,main,0.8,True,True,True,True,False,True,True,False,True
637,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
642,mrl_512_sq8_np512,main,1.0,True,True,False,False,True,True,True,False,True
644,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
652,mrl_512_sq8_np512,main,0.5,False,False,True,True,False,False,False,False,False
658,mrl_512_sq8_np512,sanity,0.8,False,False,True,True,False,False,False,False,False
684,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
697,mrl_512_sq8_np512,main,0.9,True,True,False,False,False,True,True,False,True
701,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
705,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
715,mrl_512_sq8_np512,main,0.9,False,False,True,True,False,False,False,False,False
726,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,False,False,False,False
753,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
754,mrl_512_sq8_np512,main,0.5,True,True,True,True,False,True,True,False,True
775,mrl_512_sq8_np512,sanity,0.6,False,False,True,True,False,False,False,False,False
782,mrl_512_sq8_np512,main,0.9,False,False,True,True,False,False,False,False,False
784,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
787,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
802,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
823,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
826,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
841,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,False,False,False,False
845,mrl_512_sq8_np512,main,0.8,False,False,False,False,False,True,True,False,True
855,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
861,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
868,mrl_512_sq8_np512,main,0.9,True,True,False,False,False,True,True,False,True
873,mrl_512_sq8_np512,main,0.9,False,False,False,False,True,False,False,False,False
883,mrl_512_sq8_np512,sanity,0.7,False,False,False,False,False,False,False,False,False
884,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
891,mrl_512_sq8_np512,main,0.6,True,True,False,False,False,True,True,False,True
896,mrl_512_sq8_np512,main,0.5,True,True,True,True,False,True,True,False,True
901,mrl_512_sq8_np512,main,0.8,True,True,False,False,False,True,True,False,True
905,mrl_512_sq8_np512,sanity,0.7,True,True,False,False,True,True,True,False,False
907,mrl_512_sq8_np512,main,0.5,True,True,False,False,False,True,True,False,True
919,mrl_512_sq8_np512,sanity,0.9,True,True,False,False,False,True,True,False,False
931,mrl_512_sq8_np512,main,0.7,True,False,True,True,False,True,True,False,True
937,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
944,mrl_512_sq8_np512,main,0.7,False,False,False,False,False,False,False,False,False
966,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,False,False,False,False
967,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
970,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
972,mrl_512_sq8_np512,main,0.9,True,True,True,True,False,True,True,False,True
978,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,False,False,False,False
987,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,False,False,False,False
990,mrl_512_sq8_np512,main,0.7,False,False,False,False,True,True,True,False,True
992,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
1000,mrl_512_sq8_np512,main,0.5,True,True,False,False,True,True,True,False,True
1001,mrl_512_sq8_np512,main,0.7,True,True,False,False,False,True,True,False,True
1003,mrl_512_sq8_np512,main,0.9,True,False,False,False,True,True,False,False,False
1005,mrl_512_sq8_np512,main,0.7,True,False,False,False,False,True,False,False,False
1016,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1020,mrl_512_sq8_np512,main,0.5,True,True,False,False,True,True,True,False,True
1026,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
1028,mrl_512_sq8_np512,main,0.6,True,False,False,False,False,True,False,False,False
1032,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1048,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1056,mrl_512_sq8_np512,main,0.7,True,True,False,False,False,True,True,False,True
1063,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1065,mrl_512_sq8_np512,main,0.7,True,False,True,True,False,True,False,False,False
1066,mrl_512_sq8_np512,main,1.0,True,True,False,False,True,True,True,False,True
1071,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1081,mrl_512_sq8_np512,sanity,0.8,True,True,True,True,False,True,True,False,False
1085,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
1088,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,True,True,False,True
1089,mrl_512_sq8_np512,main,0.8,True,True,True,True,False,True,True,False,True
1093,mrl_512_sq8_np512,main,0.6,False,False,True,True,False,False,False,False,False
1094,mrl_512_sq8_np512,main,0.8,True,False,True,True,False,True,False,True,False
1103,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
1106,mrl_512_sq8_np512,main,0.8,False,False,False,False,False,True,True,False,True
1108,mrl_512_sq8_np512,main,0.7,False,False,False,False,True,True,False,False,False
1113,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1114,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
1118,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
1122,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,False,False,False,False
1125,mrl_512_sq8_np512,main,0.7,True,True,False,False,False,True,True,False,True
1148,mrl_512_sq8_np512,main,0.8,True,True,False,True,False,True,True,False,True
1155,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1158,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1174,mrl_512_sq8_np512,main,0.9,False,False,True,True,False,False,False,False,False
1183,mrl_512_sq8_np512,main,0.5,True,True,True,True,False,True,True,False,True
1191,mrl_512_sq8_np512,main,0.9,True,False,False,False,True,True,False,False,False
1216,mrl_512_sq8_np512,main,0.6,False,False,True,True,False,False,False,False,False
1217,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1244,mrl_512_sq8_np512,main,0.1,True,True,True,True,False,True,True,False,True
1258,mrl_512_sq8_np512,main,0.4,False,False,True,True,False,False,False,False,False
1278,mrl_512_sq8_np512,main,0.8,True,True,True,True,False,True,True,False,True
1279,mrl_512_sq8_np512,main,0.8,True,True,False,False,False,True,True,False,True
1282,mrl_512_sq8_np512,main,0.7,True,True,False,False,False,True,True,False,True
1287,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1289,mrl_512_sq8_np512,main,1.0,True,True,False,False,True,True,True,False,True
1292,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1293,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
1313,mrl_512_sq8_np512,main,0.8,True,True,False,False,False,True,True,False,True
1320,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1322,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1327,mrl_512_sq8_np512,sanity,0.8,False,False,False,False,True,False,False,False,False
1333,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1336,mrl_512_sq8_np512,main,1.0,True,True,False,False,True,True,True,False,True
1338,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1342,mrl_512_sq8_np512,main,0.9,True,False,True,True,False,True,False,True,False
1348,mrl_512_sq8_np512,sanity,0.9,False,False,False,False,False,False,False,False,False
1370,mrl_512_sq8_np512,main,0.7,True,True,False,False,False,True,True,False,True
1372,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,True,True,False,True
1375,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1376,mrl_512_sq8_np512,main,0.6,False,False,True,True,False,False,False,False,False
1396,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1418,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1419,mrl_512_sq8_np512,main,0.8,True,True,True,True,False,True,True,False,True
1423,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1427,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1433,mrl_512_sq8_np512,main,0.9,True,True,True,True,False,True,True,False,True
1437,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,True,True,False,True
1438,mrl_512_sq8_np512,main,0.9,True,False,False,False,True,True,False,False,False
1458,mrl_512_sq8_np512,sanity,0.9,False,False,True,True,False,False,False,False,False
1463,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
1466,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1470,mrl_512_sq8_np512,sanity,0.8,False,False,True,True,False,False,False,False,False
1471,mrl_512_sq8_np512,main,0.7,True,False,True,True,False,True,False,True,False
1480,mrl_512_sq8_np512,main,0.5,True,True,False,False,False,True,True,False,True
1484,mrl_512_sq8_np512,main,0.6,True,False,True,True,False,True,False,False,False
1487,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
1490,mrl_512_sq8_np512,main,0.9,False,False,True,True,False,False,False,False,False
1496,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,True,True,False,True
1501,mrl_512_sq8_np512,main,1.0,True,True,False,False,False,True,True,False,True
1507,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1508,mrl_512_sq8_np512,sanity,1.0,True,True,False,False,True,True,True,False,False
1520,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1527,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1538,mrl_512_sq8_np512,main,0.9,False,False,False,False,False,False,False,False,False
1542,mrl_512_sq8_np512,main,0.7,True,False,False,False,True,True,False,False,False
1558,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
1574,mrl_512_sq8_np512,main,0.9,True,False,False,False,True,True,False,False,False
1583,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,True,True,False,True
1589,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
1594,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
1596,mrl_512_sq8_np512,sanity,0.9,False,False,True,True,False,False,False,False,False
1603,mrl_512_sq8_np512,sanity,0.8,False,False,True,True,False,False,False,False,False
1611,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1613,mrl_512_sq8_np512,main,0.6,False,False,True,True,False,False,False,False,False
1617,mrl_512_sq8_np512,main,0.4,False,False,True,True,False,False,False,False,False
1625,mrl_512_sq8_np512,main,0.6,True,False,True,True,False,True,False,True,False
1626,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1627,mrl_512_sq8_np512,main,0.5,False,False,True,True,False,False,False,False,False
1630,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1641,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
1642,mrl_512_sq8_np512,sanity,0.9,False,False,False,False,False,False,False,False,False
1645,mrl_512_sq8_np512,sanity,0.8,True,True,False,False,True,True,True,False,False
1654,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,False,False,False,False
1656,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1660,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
1661,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
1670,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
1671,mrl_512_sq8_np512,sanity,0.7,True,True,False,False,True,True,True,False,False
1690,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
1699,mrl_512_sq8_np512,main,0.8,False,False,False,False,False,False,False,False,False
1715,mrl_512_sq8_np512,sanity,0.8,False,False,True,True,False,False,False,False,False
1767,mrl_512_sq8_np512,main,0.6,False,False,True,True,False,False,False,False,False
1770,mrl_512_sq8_np512,main,0.8,True,True,True,True,False,True,True,False,True
1777,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1785,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
1797,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1799,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
1800,mrl_512_sq8_np512,main,0.5,False,False,True,True,False,True,True,False,True
1804,mrl_512_sq8_np512,main,0.5,True,True,False,False,True,True,True,False,True
1810,mrl_512_sq8_np512,main,0.9,True,True,True,True,False,True,True,False,True
1811,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1816,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,False,False,False,False
1831,mrl_512_sq8_np512,sanity,0.9,False,False,False,False,False,False,False,False,False
1832,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1837,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
1842,mrl_512_sq8_np512,main,0.9,False,False,False,False,False,False,False,False,False
1859,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1864,mrl_512_sq8_np512,main,0.8,False,False,False,False,True,False,False,False,False
1874,mrl_512_sq8_np512,main,0.8,True,True,True,True,False,True,True,False,True
1875,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1906,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
1908,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,False,False,False,False
1916,mrl_512_sq8_np512,main,0.8,True,True,False,False,False,True,True,False,True
1928,mrl_512_sq8_np512,sanity,1.0,True,True,False,False,True,True,True,False,False
1932,mrl_512_sq8_np512,main,0.5,False,False,True,True,False,False,False,False,False
1933,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,False,False,False,False
1934,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
1940,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
1942,mrl_512_sq8_np512,sanity,0.8,True,True,False,False,True,True,True,False,False
1952,mrl_512_sq8_np512,main,0.9,True,True,False,False,False,True,True,False,True
1955,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
1960,mrl_512_sq8_np512,main,0.9,True,True,True,True,False,True,True,False,True
1964,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,True,False
1967,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
1969,mrl_512_sq8_np512,main,0.8,True,False,False,False,True,True,False,True,False
1980,mrl_512_sq8_np512,main,0.9,True,False,True,True,False,True,False,True,False
1986,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
1999,mrl_512_sq8_np512,main,0.5,True,True,False,False,False,False,False,False,False
2003,mrl_512_sq8_np512,main,0.7,True,True,False,False,False,True,True,False,True
2021,mrl_512_sq8_np512,main,0.4,True,True,True,True,False,True,True,False,True
2048,mrl_512_sq8_np512,sanity,0.7,False,False,True,True,False,False,False,False,False
2051,mrl_512_sq8_np512,main,0.8,True,True,False,True,True,True,True,False,True
2064,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
2070,mrl_512_sq8_np512,main,0.7,True,True,False,False,False,True,True,False,True
2073,mrl_512_sq8_np512,sanity,0.8,True,True,False,False,True,True,True,False,False
2078,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
2083,mrl_512_sq8_np512,main,1.0,False,False,False,False,True,False,False,False,False
2088,mrl_512_sq8_np512,main,0.5,True,True,False,False,True,True,True,False,True
2092,mrl_512_sq8_np512,main,0.9,False,False,False,False,True,False,False,False,False
2096,mrl_512_sq8_np512,main,0.6,False,False,True,True,False,False,False,False,False
2099,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
2108,mrl_512_sq8_np512,main,0.9,False,False,False,False,False,False,False,False,False
2109,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
2115,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
2117,mrl_512_sq8_np512,sanity,0.9,False,False,False,False,False,False,False,False,False
2126,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
2128,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
2133,mrl_512_sq8_np512,main,0.8,False,False,False,False,False,False,False,False,False
2134,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
2135,mrl_512_sq8_np512,main,0.8,True,False,False,False,False,True,False,False,False
2144,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,True,True,False,True
2145,mrl_512_sq8_np512,main,0.8,False,False,False,False,False,False,False,False,False
2146,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
2167,mrl_512_sq8_np512,main,0.9,True,False,False,False,False,True,False,False,False
2170,mrl_512_sq8_np512,main,1.0,True,False,False,False,False,True,False,False,False
2172,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
2184,mrl_512_sq8_np512,main,0.9,True,True,True,True,False,True,True,False,True
2196,mrl_512_sq8_np512,sanity,0.8,True,True,False,False,True,True,True,False,False
2211,mrl_512_sq8_np512,main,0.7,True,True,False,False,False,True,True,False,True
2213,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
2218,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,True,True,False,True
2223,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
2226,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,False,False,False,False
2235,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
2263,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
2275,mrl_512_sq8_np512,main,0.8,False,False,False,False,False,False,False,False,False
2277,mrl_512_sq8_np512,main,0.8,True,True,False,False,False,True,True,False,True
2280,mrl_512_sq8_np512,sanity,0.9,False,False,True,True,False,False,False,False,False
2284,mrl_512_sq8_np512,main,0.9,True,False,True,True,False,True,False,True,False
2286,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
2295,mrl_512_sq8_np512,main,0.8,True,True,False,False,False,True,True,False,True
2297,mrl_512_sq8_np512,main,0.6,True,False,False,False,True,True,False,False,False
2306,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
2310,mrl_512_sq8_np512,main,0.9,True,True,False,False,False,True,True,False,True
2318,mrl_512_sq8_np512,main,0.3,True,True,True,True,False,True,True,False,True
2325,mrl_512_sq8_np512,main,0.6,True,True,False,False,True,True,True,False,True
2329,mrl_512_sq8_np512,main,0.8,True,True,True,True,False,True,True,False,True
2332,mrl_512_sq8_np512,main,0.7,False,False,False,False,True,True,True,False,True
2337,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
2340,mrl_512_sq8_np512,main,0.7,False,False,True,True,False,False,False,False,False
2341,mrl_512_sq8_np512,sanity,0.7,False,False,True,True,False,False,False,False,False
2349,mrl_512_sq8_np512,main,1.0,True,False,False,False,True,True,False,False,False
2366,mrl_512_sq8_np512,main,0.7,True,True,False,False,True,True,True,False,True
2373,mrl_512_sq8_np512,main,0.9,True,True,False,False,True,True,True,False,True
2379,mrl_512_sq8_np512,main,0.9,True,True,True,True,False,True,True,False,True
2391,mrl_512_sq8_np512,main,0.4,True,True,True,True,False,True,True,False,True
2393,mrl_512_sq8_np512,main,0.6,True,True,True,True,False,True,True,False,True
2398,mrl_512_sq8_np512,main,1.0,True,True,False,False,True,True,True,False,True
2401,mrl_512_sq8_np512,main,0.7,True,True,True,True,False,True,True,False,True
2404,mrl_512_sq8_np512,main,0.8,False,False,True,True,False,False,False,False,False
2425,mrl_512_sq8_np512,main,0.8,True,True,False,False,True,True,True,False,True
2430,mrl_512_sq8_np512,main,1.0,True,True,True,True,False,True,True,False,True
