qid,arm,question,old_golds,verdict,new_golds,operation,propose_reason,uphold,verify_reason,cost_total_billed
944,tier0d,which is the fastest train in india and what is its speed,"[""Gatiman"", ""160km/hour"", ""Mumbai Rajdhani Express""]",replace,"[""Vande Bharat Express""]",unchanged,"Passage [2] explicitly states '[passage text redacted],' and passage [6] confirms[passage text redacted]broad gauge train currently in the region, contradicting the recorded answers of Gatiman/Mumbai Rajdhani Express.",False,"Passage 2 does say[passage text redacted]in India, so that part of the proposal is supported. However, the question asks both which train and what its speed, and the proposal would strip the recorded speed answer '160km/hour', which the passages still plainly support: passage",0.041873
966,tier0d,which philosopher advocated the idea of return to nature,"[""Bacon""]",unanswerable_from_corpus,[],unchanged,"None of the passages mention Bacon[passage text redacted]nature. Instead, they discuss Ruskin, Rousseau, Thoreau, and others in connection with 'return to nature,' but Rousseau explicitly '[passage text redacted]' No passage supports Bacon as the answer, so the recorded answer i",False,,0.007878
1001,tier0d,who was the last nba player to get drafted out of high school,"[""Thon Maker""]",keep,[],unchanged,"Passage [3] explains that the 2005 draft was the last with straight high school entrants under normal eligibility, but a loophole allowed Thon Maker (and oth[passage text redacted]Matur Maker) to enter[passage text redacted] in later years, making Thon Maker a valid last high schooler drafted,",False,,0.009356
1005,tier0d,who is the new york state senate majority leader,"[""John J. Flanagan""]",replace,"[""Andrea Stewart-Cousins""]",changed,"The passages show John J. Flanagan was[passage text redacted](Republican leader), not Majority Leader.[passage text redacted]is identified as[passage text redacted]January 2019.",True,"The passages plainly settle this: [3] states[passage text redacted]was elected[passage text redacted]January 2019 after Democrats took the chamber, and [1] refers to her as[passage text redacted]in 2020. Meanwhile [8] shows John J. Flanagan had become[passage text redacted]an",0.021121
1028,tier0d,where are the winter olympics and when do they start,"[""Pyeongchang County, South Korea"", ""Pyeongchang, South Korea"", ""9 to 25 February 2018"", ""9 February""]",unanswerable_from_corpus,[],unchanged,"The recorded answer refers to[passage text redacted]in Pyeongchang, South Korea, starting 9 February 2018. However, none of the provided passages mention[passage text redacted]directly with its location and dates; passage [9] only references it in passing regarding the[passage text redacted]",False,,0.00653
1032,tier0d,what process causes the continents to drift apart how,"[""Continental drift""]",replace,"[""Plate tectonics""]",changed,"The passages state that[passage text redacted]s a descriptive theory/observation that was subsumed by plate tectonics, which explains the mechanism by which continents move apart (plates riding on[passage text redacted], driven by mantle convection). 'Continental drift' names the phenomenon itself, not th",True,The question asks for the process that *causes* continents to drift apart. The passages plainly identify plate tectonics as that mechanism: [1] state[passage text redacted]al drift idea '[passage text redacted]' and that '[passage text redacted],0.04933
1056,tier0d,who is the highest selling r&b artist of all time,"[""Rihanna"", ""Michael Jackson""]",unanswerable_from_corpus,[],unchanged,"The passages discuss various R&B artists' sales figures (R. Kelly with 75 million, Aretha Franklin with 75 million, Alicia Keys, Janet Jackson, etc.) but none of them explicitly states who is the high[passage text redacted]all time, nor do they mention Rihanna or Michael Jackson as holding sales ",False,,0.007708
1065,tier0d,when do love and hip hop new york come back on,"[""November\u00a013,\u00a02017"", ""October 30, 2017""]",replace,"[""October 30, 2017""]",unchanged,"Passage [7] confirm[passage text redacted]'s eighth season returned[passage text redacted], matching one of the recorded answers; there is no support for November 13, 2017.",False,"The passages only state that VH1 announced season eight would retur[passage text redacted] (passage 7); they never mention November 13, 2017 at all, so they neither confirm nor refute it. The proposal's sole effect is to delete a recorded answer, and nothing in the authorized text plainly establishes ",0.047229
1103,tier0d,the cuban revolt against spain was led by,"[""M\u00e1ximo Gomez"", ""Antonio Maceo"", ""Jos\u00e9 Mart\u00ed""]",keep,[],unchanged,"Passage [3] confirms[passage text redacted] to build the coalition leading the invasion, and Antonio Maceo is referenced as a revolutionary figure tied to this movement (via his father in passage [2]). These three are the standard recognized leaders of[passage text redacted]",False,,0.008468
1106,tier0d,colby chees is named after a town in what state,"[""Wisconsin""]",keep,[],unchanged,"Passage 5 confirms Colby cheese[passage text redacted]Colby, Wisconsin, supporting the recorded answer 'Wisconsin'.",False,,0.005174
1125,tier0d,where are the next two winter olympics going to be held,"[""Beijing"", ""TBD""]",replace,"[""Milan and Cortina d'Ampezzo (2026)"", ""2030 host to be decided at the 142nd IOC Session""]",changed,"The passages indicate[passage text redacted](Beijing) already occurred; the next two upcoming Winter Olympics per the corpus are 2026[passage text redacted], and 2030 with host to[passage text redacted], not yet determined.",True,"The passages settle the timeframe: the 2022 Beijing Games are described in the past tense as having taken place (""[passage text redacted]""), so Beijing is no longer an upcoming host. Passage [9] states Italy ""[passage text redacted]... in 20",0.039647
1148,tier0d,who won the 30 man royal rumble match,"[""Shinsuke Nakamura"", ""Randy Orton""]",unanswerable_from_corpus,[],unchanged,"The question is ambiguous as to which '30 man'[passage text redacted]is meant (the standard men's Rumble had 30 entrants in many years, e.g., 2008 won by John Cena). Neither Shinsuke Nakamura nor Randy Orton won a 3[passage text redacted]per the passages; Nakamura is only shown being eliminated in 20",False,,0.013764
1279,tier0d,who has the highest paid contract in the nba,"[""Stephen Curry""]",replace,"[""Jaylen Brown""]",unchanged,Passage [6] states Jaylen Brown's[passage text redacted]extension surpassed[passage text redacted]deal as the richest (highest-paid)[passage text redacted]superseding Stephen Curry's contract mentioned in other passages.,False,"The passages conflict and do not plainly settle the question. Passage [6] does call Jaylen Brown's[passage text redacted]extension '[passage text redacted],' but passage [1] states just as directly that Stephen Curry is '[passage text redacted]' and 'the highe",0.046949
1282,tier0d,who got the most passing yards in the nfl,"[""Peyton Manning""]",replace,"[""Tom Brady""]",changed,"Per the passages, [passage text redacted]surpassing Drew Brees's record, making him the player with the most passing yards, not Peyton Manning.",True,"Passage [3] states plainly that [passage text redacted], and passage [1] confirms Brady passed[passage text redacted]history. Nothing in the passages supports Peyton Man",0.026646
1313,tier0d,who did the astros play last time they were in the world series,"[""White Sox"", ""Los Angeles Dodgers""]",replace,"[""Atlanta Braves""]",unchanged,"The passages state the Astros' most recent[passage text redacted](2021) was against[passage text redacted]whom they lost to in six games. White Sox and Dodgers were opponents in earlier playoff rounds or prior years, not the most recent World Series.",False,"The passages do not require the proposed change. Passage [9] explicitly states the Astros lost the 2021[passage text redacted]but then returned in 2022, '[passage text redacted]' (and were beaten in the 2023 ALCS, not the World Series). So by the passages' own timel",0.030522
1322,tier0d,when was i can only imagine the song released,"[""1999"", ""2001""]",replace,"[""2001""]",unchanged,"The passages state 'I Can Only Imagine' (MercyMe song)[passage text redacted], as part of the album Almost There. There is no support for 1999 as a release date; the album itself was released in 2001.",False,"The passages only establish that MercyMe's [passage text redacted] (passage 6) and that a different, unrelated Guetta track of the same name came out in 2012. Nothing in the passages addresses the 1999 date at all fffe2fffx80fffx94 they neither confirm nor r",0.039198
1370,tier0d,when does the mlb season start and finish,"[""March 29"", ""October 31, 2018""]",unanswerable_from_corpus,[],unchanged,"The recorded answer 'March 29' refers to the 2018 season's Opening Day date (mentioned only in passing as t[passage text redacted]), and 'October 31, 2018' does not match any World Series end date in the passages (2018 World Series details aren't given here). The passages describe multiple differe",False,,0.006732
1376,tier0d,who played tom on as the world turns,"[""Jason Kincaid (1984)"", ""Jason Kincaid"", ""C. David Colson"", ""Peter Galman"", ""Scott Holmes"", ""Gregg Marx"", ""Justin Deas"", ""others"", ""Tom Tammi""]",unanswerable_from_corpus,[],unchanged,"The passages only mention Peter Link as an actor who played Tom Hughes in 1968 on[passage text redacted]but none of the recorded answers (Jason Kincaid, C. David Colson, Peter Galman, Scott Holmes, Gregg Marx, Justin Deas, Tom Tammi) are supported or contradicted by the given passages, so the corpus d",False,,0.007626
1433,tier0d,who did virginia cavaliers lose to in basketball this year,"[""Virginia Tech"", ""West Virginia"", ""UMBC""]",unanswerable_from_corpus,[],unchanged,"The question asks about losses 'this year' but no season-specific date is given, and the passages describe multiple different seasons (2015-16, 2018-19, 2020-21, 2023, etc.) without a clear indication of which season is 'this year'. The passages do not establish a single definitive answer set corres",False,,0.00708
1480,tier0d,where was the first t20 cricket match played,"[""Lord's""]",unanswerable_from_corpus,[],unchanged,"The passages mention first T20Is at various grounds (Rose Bowl, Stormont, MCG's first ODI, etc.) but none identify Lord's as the site of the first T20 match, nor do they state where the very first T20 international was played overall. The corpus does not settle this claim.",False,,0.00562
1496,tier0d,what culture region is germany a part of,"[""Central Germany""]",keep,"[""Central Germany""]",unchanged,"Passage [1] confirms Central Germany is a recognized cultural area/region within Germany, matching the recorded answer.",False,,0.005058
1501,tier0d,what song did the titanic band play when it sank,"[""\""Autumn\""""]",augment,"[""\""Autumn\"""", ""\""Nearer, My God, to Thee\""""]",unchanged,"The passages indicate the final song is uncertain and disputed: Harold Bride reported 'Autumn' while other survivors (like Vera Dick) claimed[passage text redacted]was played, and the latter became the most popularly accepted answer. Since both are supported as candidate answers in the corpus, t",False,"The passages do not settle the question in a way that requires adding[passage text redacted]a correct answer. They present it as contested folklore: [2] calls it part of ""enduring folklore"" that ""some regard as dubious,"" [10] says it is ""possibly a myth"" possibly originating from another wrec",0.047281
1538,tier0d,most consecutive games with 20+ points - nba history,"[""126""]",unanswerable_from_corpus,[],unchanged,"None of the passages mention the NBA record of 126[passage text redacted]20+ points, nor any equivalent figure; the closest related facts (franchise records, double-doubles, three-pointers) do not confirm or address this specific statistic.",False,,0.004404
1542,tier0d,when did american idol end the first time,"[""April 7, 2016""]",keep,[],unchanged,"Passage [7] confirms the fifteenth (final) season on Fox concluded with the winner announcement on April 7, 2016, matching the recorded answer.",False,,0.00578
1660,tier0d,what's the biggest nfl stadium in the united states,"[""Michigan Stadium"", ""MetLife Stadium""]",keep,[],unchanged,"The passages do not directly compare Michigan[passage text redacted]'s capacities against all NFL stadiums to overturn the recorded answer; nothing here contradicts the recorded answers, so per instructions to keep unless passages plainly require a change, the existing answer stands.",False,,0.007872
1699,tier0d,who won the marathon in new york city,"[""Geoffrey Kamworor""]",unanswerable_from_corpus,[],unchanged,"The passages describe multiple different[passage text redacted]inners across various years (Gebremariam and Kiplagat 2010, Mutai and Dado 2011, Ghebreslassie 2016, Keitany 2018, Lel 2007), but Geoffrey Kamworor is not mentioned as a winner in any passage, and the question does not specify a year, ",False,,0.00567
1770,tier0d,when did indoor toilets become common in america,"[""After World War I""]",unanswerable_from_corpus,[],unchanged,"The passages discuss indoor toilets becoming common in Britain/London 'After World War I,' but this is specifically about London/England, not America. The only America-specific passage [1] says[passage text redacted]s were introduced in wealthy American homes in the 1890s, but does not state when ",False,,0.006884
1804,tier0d,who are the two teams in super bowl 2018,"[""New England Patriots"", ""Philadelphia Eagles""]",keep,[],unchanged,rejected: replace must differ from the existing golds,False,,0.008584
1811,tier0d,who does dwyane wade play for right now,"[""the Miami Heat"", ""Miami Heat""]",unanswerable_from_corpus,[],unchanged,"The passages confirm Wade retired from the Heat after the 2018\u201319 season and describe only historical events up to that point. There is no passage stating who Wade currently plays for, so the corpus cannot settle a present-tense 'right now' question.",False,,0.005256
1837,tier0d,industrial city in germany on the rhine herne canal,"[""Henrichenburg"", ""Duisburg""]",unanswerable_from_corpus,[],unchanged,"The passages only state that the Rhine-Herne Canal connects[passage text redacted]to Herne; they do not mention Henrichenburg, nor do they clearly identify a single 'industrial city on the Rhine-Herne Canal' answer beyond Duisburg being at the Rhine end. There's insufficient basis to confirm both re",False,,0.005984
1842,tier0d,when was penicillin first introduced to the public,"[""After World War II"", ""1942""]",replace,"[""March 15, 1945 (United States); June 1946 (United Kingdom)""]",changed,"Passage [1] explicitly states penicillin was[passage text redacted]S[passage text redacted], and[passage text redacted]K in June 1946, contradicting the recorded answers of 'After World War II' or '1942'.",True,"Passage [1] directly and unambiguously answers the question of when penicillin was first made availab[passage text redacted]: on sa[passage text redacted], and[passage text redacted] in June 1946. This is exactly the proposed answer. The recorded answer '1942' ",0.144189
1916,tier0d,when did ohio state join the big 10,"[""1912""]",keep,[],unchanged,"Passage [1] explicitly states '[passage text redacted],' confirming the recorded answer.",False,,0.006506
1940,tier0d,who is the present rajya sabha speaker of india,"[""Venkaiah Naidu""]",unanswerable_from_corpus,[],unchanged,"The Rajya Sabha'[passage text redacted]is the Vice[passage text redacted](ex-officio Chairman, not called 'Speaker'), and the passages mention M. Venkaiah Naidu only as Vice President conferring an award, not confirming his current role or that he still holds the office. The passages do not establish who ",False,,0.007588
1952,tier0d,who devised the fingerprint classification still used today in europe and the us,"[""Hem Chandra Bose"", ""Azizul Haque"", ""Sir Edward Henry""]",keep,[],unchanged,"Passages [1] and [4] state that[passage text redacted]developed the[passage text redacted], which was[passage text redacted][passage text redacted], and this[passage text redacted]adopted in England and, per passage [2],[passage text redacted] inc",False,,0.007854
1964,tier0d,how many series of diary of a wimpy kid are there,"[""12""]",unanswerable_from_corpus,[],unchanged,"The passages describe 18 main books, a 3-book spin-off series, and a film series of 4 live-action and 2 animated films, but none of these figures matches '12' nor is '12' mentioned anywhere in the passages as a count of 'series'. There is no clear basis in the corpus to confirm '12' as correct.",False,,0.00541
1999,tier0d,the nurses' health study is an example of what type of study,"[""long-term"", ""prospective"", ""prospective studies""]",unanswerable_from_corpus,[],unchanged,"The passages define general research study types (cohort, case-control) and describe[passage text redacted][passage text redacted]details, but none explicitly classify[passage text redacted]as 'long-term' or 'prospective'. Passage [8] describes it as long-running but does not use the terms",False,,0.00571
2003,tier0d,what nba player has scored the most 3 pointers,"[""Ray Allen""]",replace,"[""Stephen Curry""]",changed,"Passage [5] states [passage text redacted][passage text redacted], surpassing Ray Allen's total, making Curry the new career[passage text redacted]ers made, superseding the recorded answer.",True,"Passages [3] and [5] plainly state that Stephen Curry surpassed Ray Allen's[passage text redacted]record (2,977 vs. Allen's 2,973[passage text redacted]), making Curry[passage text redacted]ers made. The recorded answer 'Ray Allen' is explicitly superseded by the passages, so the correction ",0.02149
2064,tier0d,what is the population of the tri-cities washington,"[""283,846"", ""over 300,000""]",replace,"[""283,869 (2016 MSA estimate)"", ""over 300,000"", ""approximately 303,622""]",changed,"The passage gives 283,869 as the official 2016 MSA estimate, not 283,846, and also states the 2016 estimate as over 300,000; passage 3 gives[passage text redacted]. The recorded '283,846' figure does not match the passage's stated 283,869.",True,"Passage [1] explicitly states the official 2016 Tri-Cities MSA estimate is 283,869, so the recorded figure 283,846 is contradicted by the sole authority and is a factual error, not a mere rephrasing. The proposal preserves the still-valid 'over 300,000' from the same passage and adds 'approximately ",0.026085
2070,tier0d,who sang my bucket got a hole in it,"[""Hank Williams""]",keep,[],unchanged,"Passage [1] confirms '[passage text redacted]' was a 1949 hit by Hank Williams, matching the recorded answer.",False,,0.007134
2083,tier0d,what was the result of the revolt of 1857,"[""British victory"", ""Suppression of the revolt""]",keep,[],unchanged,"Passages confirm the revol[passage text redacted], leading to[passage text redacted]'s dissolution and British Crown control over India, consistent with 'British victory' and 'Suppression of the revolt.'",False,,0.004304
2092,tier0d,where does the term the west come from,"[""the Roman Empire""]",augment,"[""the Roman Empire"", ""Western Christianity""]",changed,"Passage 1 states t[passage text redacted][passage text redacted], so the recorded answer is correct but incomplete.",True,Passage [1] states in a single sentence that the concept '[passage text redacted]' The recorded answer draws on exactly this sentence but captures only one of the two roots it names. Adding '[passage text redacted]' does not drop or rephrase the recorded ,0.034828
2108,tier0d,when was the last time mount ruapehu erupted,"[""25 September 2007""]",replace,"[""13 July 2009""]",changed,"Passage [2] states that the only eruptive event[passage text redacted] was [passage text redacted], making that the most recent eruption according to the corpus, not 25 September 2007.",True,"Passage [2] directly settles the question: it states that ""[passage text redacted]\u2014[passage text redacted],"" and notes that subsequent activity (2011, 2016, 2019) was only heating/gas emissions, not eruptions. Since the passages explici",0.030588
2133,tier0d,who is the oldest wrestler that is still wrestling,"[""Dory Funk Jr.""]",replace,"[""Great Kojika""]",changed,"The passages do not mention Dory Funk Jr. Instead, passage [2] explicitly states that Great Kojika is[passage text redacted]",True,"Passage [2] plainly states that Great Kojika '[passage text redacted],' directly answering the question. No passage in the authority set mentions Dory Funk Jr. at all, so the recorded answer has no support here and is not independently defensible on this evidence. The propose",0.023506
2135,tier0d,what's the name of the last mission impossible movie,"[""Mission: Impossible \u2013 Fallout""]",replace,"[""Mission: Impossible \u2013 Dead Reckoning Part One""]",changed,"The passages state that[passage text redacted](2018) was followed by a[passage text redacted]released July 12, 2023, making it the most recent installment, with an eighth film upcoming in 2025.",True,"The passages settle this: Fallout (2018) is explicitly[passage text redacted], and its sequel[passage text redacted]\u2013[passage text redacted]is described as the seventh film, released July 12, 2023 [1][5][7]. Passage [10] confirms[passage text redacted]released with an eighth in the works (due May ",0.02834
2145,tier0d,who is playing the halftime show for the superbowl,"[""Justin Timberlake""]",unanswerable_from_corpus,[],unchanged,"The passages do not mention Justin Timberlake at all, nor do they specify a current/upcomi[passage text redacted]er matching the question's present-tense phrasing. Without corpus support for Justin Timberlake or any specific answer to 'who is playing' (present/future), the question cannot be ",False,,0.00716
2167,tier0d,when is the next deadpool movie being released,"[""May 18, 2018""]",replace,"[""May 3, 2024""]",changed,"The question asks about the next Deadpool movie, which per the passages is Deadpool 3, scheduled[passage text redacted]. The recorded answer of May 18, 2018 refers to Deadpool 2, which is now the past film, not the 'next' one.",True,"The passages establish that Deadpool 2 was already released (May 18, 2018) and is described as a 2018 film, so that date cannot be the 'next' release. Multiple passages (1, 3, 4) plainly state that the next Deadpool film, Deadpool 3, '[passage text redacted]'[passage text redacted]",0.03552
2170,tier0d,what percentage of the earth's surface is water,"[""78%"", ""roughly 78%""]",replace,"[""approximately 71%""]",changed,"Multiple passages consistently state that water covers about 71% (or 70.8%)[passage text redacted]not 78%. The 78% figure appears only in an unrelated passage about the human body's water content, not Earth's surface.",True,"Multiple passages plainly and consistently state that water/ocean[passage text redacted]1% (or 70.8%) of Earth's surface: [1] '[passage text redacted]', [3] '[passage text redacted]', [5] '[passage text redacted]', [7] '[passage text redacted]', [8]",0.032416
2211,tier0d,who won the world cup in cricket 2017,"[""Pakistan""]",unanswerable_from_corpus,[],unchanged,"The passages do not mention any 201[passage text redacted]or ODI World Cup event won by Pakistan; there was no 2017 ODI[passage text redacted]the men's World Cup was in 2019, women's in 2017 won by England). The passages don't discuss the 2017 Champions Trophy which Pakistan actually won, so the corpus do",False,,0.006448
2213,tier0d,where does the water from the california aqueduct come from,"[""Sierra Nevada Mountains"", ""the Sierra Nevada Mountains""]",unanswerable_from_corpus,[],unchanged,"The passages describe[passage text redacted]s transporting water[passage text redacted](via[passage text redacted])[passage text redacted], but none of them mention the Sierra Nevada Mountains as the source of this water. Therefore the recorded answer cannot be verified against these",False,,0.005762
2218,tier0d,a political leader during the roman empire was called,"[""emperors""]",keep,[],unchanged,"Passage [10] confirms the title 'Roman Emperor' was used for the politic[passage text redacted]Empire, supporting the recorded answer 'emperors'.",False,,0.008132
