qid,question,golds,seen_in_error_audit,label,justification,auditor
1056,who is the highest selling r&b artist of all time,"[""Rihanna"", ""Michael Jackson""]",True,not_supported,R. Kelly as most successful of the 1990s; no all-time best-seller claim,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1085,where was the world economic forum held this year,"[""Davos""]",False,answerable_declined,multiple passages place the World Economic Forum at Davos,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1088,who is emma dating in once upon a time,"[""Hook""]",False,answerable_declined,the passage describes Hook and Emma's relationship directly,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1089,when does the world cup of hockey start,"[""2020""]",False,not_supported,2021 World Junior Championships; a different tournament,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1114,internet based test of english as a foreign language test,"[""TOEFL""]",False,answerable_declined,names Test of English as a Foreign Language (TOEFL) explicitly,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1148,who won the 30 man royal rumble match,"[""Shinsuke Nakamura"", ""Randy Orton""]",True,ambiguous_question,"no year given; the retrieved Rumble is 2008, won by Cena","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1183,how many seasons of johnny bravo are there,"[""four""]",False,not_supported,"Johnny Lozada, not Johnny Bravo","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1244,who wrote the song oh lord won't you buy me a mercedes benz,"[""Janis Joplin"", ""Bob Neuwirth"", ""Michael McClure""]",False,not_supported,Joplin listed as a Capitol Theatre performer; songwriting never mentioned,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1278,when was the last time the dodgers played yankees in the world series,"[""1981""]",False,not_supported,Dodger Stadium lists World Series years without naming opponents,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1293,a country having an island location and a country having continental location,"[""Australia""]",False,ambiguous_question,the question is barely formed; continent groupings cannot resolve it,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1320,turkish finnish and hungarian belong to which family of languages,"[""Uralic languages""]",False,answerable_declined,"Finnish and Hungarian are stated to be Uralic, matching the gold","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1370,when does the mlb season start and finish,"[""March 29"", ""October 31, 2018""]",True,ambiguous_question,"no season specified; only a start date appears, never a finish","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1372,who said everyone will be famous for 15 minutes,"[""Andy Warhol""]",False,answerable_declined,names the famous quote by Andy Warhol about 15 minutes of fame,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1419,who plays bianca in that's so raven,"[""Erica Rivera""]",False,not_supported,an alphabetical guest-cast list with no role mapping,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1433,who did virginia cavaliers lose to in basketball this year,"[""Virginia Tech"", ""West Virginia"", ""UMBC""]",True,not_supported,UVA rivalry description; no losses listed,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1437,what type of government is in north america,"[""Federal presidential constitutional republic"", ""federal republic""]",False,ambiguous_question,asks about a continent; the passage describes the US federal republic,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1480,where was the first t20 cricket match played,"[""Lord's""]",True,not_supported,"Lord's Test cricket firsts, nothing about T20","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1520,where do the royalties for winnie the pooh go,"[""the Slesinger family"", ""Slesinger, Inc.""]",False,answerable_declined,states Disney must pay royalties to the Slesinger family,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1594,leader of carthage in the first punic war,"[""Hanno the Great"", ""Xanthippus"", ""Hasdrubal the Fair"", ""Hamilcar Barca""]",False,answerable_declined,names Hanno the Great and Hamilcar Barca as Carthage's leaders of the period,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1660,what's the biggest nfl stadium in the united states,"[""Michigan Stadium"", ""MetLife Stadium""]",True,not_supported,"MetLife named as a shared stadium, not as the largest","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1770,when did indoor toilets become common in america,"[""After World War I""]",True,not_supported,"'After World War I' applies to LONDON housing, not America","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1810,who won every men's biathlon event in the 2002 winter olympics,"[""Norway"", ""Ole Einar Bj\u00f8rndalen""]",False,not_supported,2011/2007 World Championships and 1984 Olympics; 2002 absent,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1874,where did chocolate originate the americas spain asia,"[""Mesoamerica"", ""the Americas"", ""Americas""]",False,answerable_declined,states cocoa was discovered in regions of Mesoamerica,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1940,who is the present rajya sabha speaker of india,"[""Venkaiah Naidu""]",True,not_supported,Naidu named as Vice President; the Rajya Sabha chairmanship link is never made,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1955,where does the cell spend most of its time in the cell cycle,"[""Interphase""]",False,not_supported,PRC1 localisation during interphase; no claim about time spent,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
1960,who is the most losing team in nfl history,"[""Arizona Cardinals"", ""Tampa Bay Buccaneers""]",False,not_supported,consecutive-loss records; no all-time most-losses claim,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2021,where did the last name edwards come from,"[""England"", ""Scotland"", ""Wales""]",False,not_supported,"Rowe, Osman and Ashley surnames; Edwards never discussed","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2051,when were the first general elections held in independent india,"[""1951\u201352""]",False,answerable_declined,states the first post-independence general election was 1951-52,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2099,who sang one bad apple spoils the bunch,"[""The Osmonds""]",False,answerable_declined,attributes the hit 'One Bad Apple' to the Osmonds,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2144,who sang the songs on walk the line,"[""Reese Witherspoon"", ""Tyler Hilton"", ""Waylon Payne"", ""Johnathan Rice"", ""Shooter Jennings"", ""Joaquin Phoenix""]",False,answerable_declined,states Phoenix and Witherspoon recorded for Walk the Line,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2184,when did chicano studies become major studies programs on college campuses,"[""By 1975"", ""1972""]",False,answerable_declined,NACCS formed 1972 and the 'By 1975' phrase both appear in context,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2318,what is the main industry in the canadian shield,"[""mining""]",False,not_supported,mining in Canada generally; the Canadian Shield is never named,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2329,which indian actor has won most national awards,"[""Amitabh Bachchan""]",False,not_supported,"Filmfare Critics Award record, a different award from the National Film Awards","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2337,when was the last time michigan basketball won the championship,"[""1989""]",False,not_supported,Michigan basketball article; the 1989 title is not stated in the window,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2379,when did the nba start playing zone defense,"[""2002"", ""the 2001\u20132002 season""]",False,not_supported,"the 2002 rule change shown is hand-checking, not zone defense","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2391,what city was zeus the patron god of,"[""Olympia"", ""Elis""]",False,answerable_declined,places the Temple and sanctuary of Zeus at Olympia,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2393,who is the richest club in the championship,"[""Manchester City"", ""Aston Villa""]",False,not_supported,Premier League club revenues; 'the Championship' tier is not covered,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2401,what do you say when you win bingo,"[""Yes"", ""Bingo"", ""Line"", ""House""]",False,not_supported,prize bingo mechanics; the winning call is never given,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2430,country with most olympic gold medals all time,"[""United States""]",False,answerable_declined,states the United States topped the medal table fifteen times,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2458,who is the most selling music artist of all time,"[""The Beatles""]",False,answerable_declined,states the Beatles have sold more records than any other artist,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2525,the mughal garden of rashtrapati bhavan is modelled on which garden,"[""the Persian gardens"", ""charbagh""]",False,not_supported,"charbagh and Persian gardens discussed, but never Rashtrapati Bhavan","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2533,where is the light between two oceans filmed,"[""Australia"", ""New Zealand""]",False,not_supported,The Thin Red Line filming; wrong film,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2542,which layer of the meninges is connected to the brain,"[""pia mater"", ""The pia mater""]",False,answerable_declined,names pia mater as one of the two innermost meningeal layers,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2576,what type of reaction occurs to form a dipeptide,"[""peptide bond""]",True,answerable_declined,"states a peptide bond is formed, matching the gold","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2587,who is considered the father of modern cosmology,"[""Edwin Hubble""]",False,not_supported,Hubble's 1929 discovery stated; the 'father of modern cosmology' title is not,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2621,what is the general structure of an url,"[""a protocol"", ""a hostname"", ""a file name""]",False,not_supported,an Ampersand article on query strings; no general URL structure,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2636,who has the most conference championships in college basketball,"[""Kansas""]",True,not_supported,"Kansas's CONSECUTIVE title run, not most conference championships overall","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2649,where was the film coming home for christmas filmed,"[""British Columbia""]",False,not_supported,A Very Supernatural Christmas filming; wrong production,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2665,who hosted and won the inagural world cup,"[""Uruguay""]",False,not_supported,Uruguay appears in a home-soil winners list; the inaugural World Cup is not identified,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2687,what type of car is a g wagon,"[""Mercedes-Benz""]",False,answerable_declined,states the G-Class Wagon is by Mercedes-Benz,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2720,what is the multiplication sign on the computer,"[""a rotationally symmetric saltire"", ""the symbol \u00d7"", ""*""]",False,not_supported,asterisk used for totals on adding machines; multiplication never stated,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2866,what us state forms the western boundary of montana,"[""Idaho""]",False,answerable_declined,names the Idaho-Montana border,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2873,when was the last time it snowed in england on christmas day,"[""2009""]",True,stale_gold,"context gives white Christmases in 2009 AND 2010; 'last time' would answer 2010, judged wrong","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2899,who made possible the first reproduction of the human voice on the phonograph,"[""Thomas Alva Edison"", ""Thomas Edison""]",False,answerable_declined,states Edison introduced the first working phonograph for reproducing sound,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
2914,who won la liga in the last 10 years,"[""Real Madrid"", ""Barcelona"", ""Atl\u00e9tico Madrid""]",False,ambiguous_question,'last 10 years' is time-relative and no per-season winners appear,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3095,where is season 3 of the detour filmed,"[""Alaska""]",False,answerable_declined,states that in season 3 the family flees to Alaska,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3118,who won the medals in men's figure skating 2018,"[""Yuzuru Hanyu"", ""Javier Fern\u00e1ndez"", ""Shoma Uno""]",True,not_supported,Mark Kondratiuk at the 2022 team event; wrong year and wrong event,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3135,who is directly elected according to the constitution,"[""senators""]",True,answerable_declined,quotes the constitutional text that senators are directly chosen by the people,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3137,baga beach is in north or south goa,"[""North Goa"", ""North""]",False,not_supported,Colva and Raia in South Goa; Baga never mentioned,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3155,who wrote the song the glory of love,"[""Billy Hill""]",False,not_supported,NO gold match in the retrieved passages at all -- declining was correct,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3160,who was allowed to vote in the roman republic,"[""unknown"", ""citizens""]",False,answerable_declined,states citizens were called forth to vote in the comitia,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3191,where does the name de la rosa come from,"[""Spanish""]",False,not_supported,De la Mora and Del Rosario surnames; de la Rosa never discussed,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3258,who is the guy on keeping up with the kardashians,"[""Jonathan Cheban""]",False,answerable_declined,"names Jonathan Cheban among the cast, matching the gold","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3310,which layer of the osi model handles physical addressing,"[""physical layer or layer 1""]",False,answerable_declined,"names the physical layer or layer 1, matching the gold verbatim","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3317,known as the punk poet who used poetry in their music,"[""John Cooper Clarke""]",False,answerable_declined,names British punk poet John Cooper Clarke,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3320,who has scored the most points for wales v france,"[""Neil Jenkins""]",False,not_supported,"Jenkins as all-time international scorer, not Wales v France specifically","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3345,where did the crown of thorns starfish come from,"[""Indo-Pacific""]",False,answerable_declined,places the crown-of-thorns starfish in the Indo-Pacific region,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3368,when did russia join the world economic forum,"[""1997""]",False,not_supported,"1997 refers to Russia joining the G8, not the World Economic Forum","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3386,cast of a nightmare on elm street 1984,"[""Heather Langenkamp"", ""Ronee Blakley"", ""Nick Corri"", ""Johnny Depp"", ""John Saxon"", ""Robert Englund"", ""Amanda Wyss""]",False,answerable_declined,"cast list names Englund and Langenkamp, both golds","claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3417,who does betty end up with on riverdale,"[""Archie Andrews""]",True,not_supported,Archie named as a childhood crush; who Betty ends up with is not stated,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3480,when does elena turn into a vampire in the tv series,"[""season four"", ""fourth season""]",True,answerable_declined,the season-3 finale passage refers to the change setting up the fourth season,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3591,who was selected for the 2018 football hall of fame,"[""Ray Lewis"", ""Brian Urlacher"", ""Jerry Kramer"", ""Robert Brazile"", ""Bobby Beathard"", ""Brian Dawkins"", ""Randy Moss"", ""Terrell Owens""]",False,not_supported,Terrell Owens named via a Madden cover; the 2018 class is never listed,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
3606,what college does everyone in gossip girl go to,"[""New York University"", ""Columbia University""]",False,not_supported,Columbia used as a FILMING location for Yale; the characters' college is not given,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending"
