qid,question,golds,answer,judge_reason,label,auditor,justification
559,sweet leavened bread prepared for easter in romania,"[""Kozunak"", ""Cozonac""]",pască,"Pască is a different Romanian Easter dish (a cheese-filled Easter cake), not the sweet leavened bread cozonac/kozunak named in the gold answers.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",the sweet leavened Romanian Easter bread is cozonac; pasca is the cheese-filled one
614,who plays the mouse in alice in wonderland,"[""Barbara Windsor""]",Nathan Lane,"Nathan Lane does not match the gold answer Barbara Windsor, who voiced the Dormouse in Alice in Wonderland.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","no adaptation specified; gold is the 2010 film, answers cite 1985/1999 versions"
644,where was the flag placed on the moon,"[""Hadley\u2013Apennine"", ""Sea of Tranquility"", ""Fra Mauro formation"", ""Descartes Highlands"", ""Ocean of Storms"", ""Taurus\u2013Littrow""]",About 27 feet (per Aldrin's account) from the centerline of the Eagle landing craft.,"The candidate gives a distance from the lunar module rather than naming a lunar location like the Sea of Tranquility, so it fails to match any gold answer.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'where' read as distance from the lander rather than which landing site
697,legislation regarding data protection and security in uk,"[""The Data Protection Act 1998"", ""Data Protection Act 1998""]",The Data Protection Act 2018,"The candidate names the Data Protection Act 2018, a different statute from the gold answer's Data Protection Act 1998.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",the Data Protection Act 2018 superseded the 1998 Act before the corpus snapshot
715,when did they stop saying mass in latin,"[""from 1967 onwards"", ""1967""]",Latin Mass was largely replaced when Pope Paul VI promulgated the Novus Ordo Mass in 1969.,"The candidate gives 1969 (Novus Ordo promulgation) rather than the accepted 1967 date, stating a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",gradual process; 1967 (first vernacular) vs 1969 (Novus Ordo) both defensible
726,where do the phaeacians live in the odyssey,"[""Scheria""]",The Phaeacians live on the island of Kerkyra (Corfu).,"The Odyssey names their homeland Scheria; the candidate instead gives the modern island Corfu/Kerkyra, a later speculative identification, not the gold answer.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",in-text name Scheria vs its conventional real-world identification as Corfu
845,who wrote the first declaration of human rights,"[""Cyrus""]",John Peters Humphrey,"The gold answer credits Cyrus (the Cyrus Cylinder), whereas the candidate names John Peters Humphrey, drafter of the 1948 UDHR—a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'first declaration of human rights' reads as Cyrus Cylinder or the 1948 UDHR
868,who plays the beast on the new beauty and the beast,"[""Dan Stevens""]",Josh Groban,"The candidate names Josh Groban, not Dan Stevens, who played the Beast in the 2017 Beauty and the Beast film.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'the new' is time-relative; answer names a later production than the 2017 film
891,where does puerto rico's power come from,"[""Puerto Rico Electric Power Authority""]",Puerto Rico's electricity comes primarily from oil and natural gas fired power plants.,"The gold answer identifies the Puerto Rico Electric Power Authority as the source; the candidate instead names fuel types, stating a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'where does power come from' admits the utility (PREPA) or the fuel source
896,when was the first ford f 150 made,"[""1975""]",1948,"1948 is when the first Ford F-Series truck appeared, not the F-150, which debuted in 1975 as required by the gold answer.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",question names the F-150 specifically (1975); 1948 is the first F-Series
901,what's the largest city park in the united states,"[""Franklin Mountains State Park""]",Jacksonville's park system,"The candidate names Jacksonville's park system rather than Franklin Mountains State Park, stating a different and vague fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'largest city park' admits single park vs park system; gold is a state park
907,panic at the disco song about a wedding,"[""I Write Sins Not Tragedies""]","""Hallelujah""","The candidate names ""Hallelujah,"" not the gold answer ""I Write Sins Not Tragedies,"" which is the Panic! at the Disco song set at a wedding.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",the wedding song is I Write Sins Not Tragedies; answers name unrelated tracks
944,which is the fastest train in india and what is its speed,"[""Gatiman"", ""160km/hour"", ""Mumbai Rajdhani Express""]",The fastest train in India is the **Vande Bharat Express**.,"The candidate names Vande Bharat Express, which does not match any gold answer (Gatimaan Express, Mumbai Rajdhani), and gives no speed figure.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Vande Bharat (2019) superseded Gatimaan as India's fastest train
966,which philosopher advocated the idea of return to nature,"[""Bacon""]",Jean-Jacques Rousseau,"The gold answer identifies Bacon, while the candidate names Rousseau, a different philosopher, so it states a different fact.",unresolved,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",RUBRIC GAP: gold 'Bacon' appears incorrect; Rousseau is the standard answer
1001,who was the last nba player to get drafted out of high school,"[""Thon Maker""]","Based on the passages, the last players drafted directly from high school were part of the 2005 draft class (before the ""one year out of high school"" rule began with the 2006 draft), but the passages don't name a specific individual as ""the last.""

I don't know","The candidate declines to name a specific player and says it doesn't know, failing to state the gold answer Thon Maker.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'last drafted out of high school' admits pre-2005-rule (Amir Johnson) or Thon Maker 2016
1005,who is the new york state senate majority leader,"[""John J. Flanagan""]",Andrea Stewart-Cousins,"The candidate names Andrea Stewart-Cousins, which differs from the gold answer John J. Flanagan.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Stewart-Cousins succeeded Flanagan as NY Senate majority leader in 2019
1028,where are the winter olympics and when do they start,"[""Pyeongchang County, South Korea"", ""Pyeongchang, South Korea"", ""9 to 25 February 2018"", ""9 February""]","The 2022 Winter Olympics were held in Beijing, China, starting February 4.","The candidate names Beijing 2022 starting February 4, which differs from the gold answer of Pyeongchang, South Korea beginning 9 February 2018.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","time-relative; corpus documents Beijing 2022, gold is PyeongChang 2018"
1032,what process causes the continents to drift apart how,"[""Continental drift""]",Mantle convection,"The gold answer is ""continental drift""; the candidate instead names mantle convection, a different stated fact than the expected answer.",unresolved,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",RUBRIC GAP: gold 'continental drift' restates the question; mantle convection is the process
1056,who is the highest selling r&b artist of all time,"[""Rihanna"", ""Michael Jackson""]",R. Kelly,"R. Kelly does not match either accepted gold answer (Rihanna or Michael Jackson), so it states a different fact.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",R. Kelly is not the highest-selling R&B artist under any reading
1065,when do love and hip hop new york come back on,"[""November\u00a013,\u00a02017"", ""October 30, 2017""]","December 16, 2019","The candidate gives December 16, 2019, which does not match either gold answer of November 13, 2017 or October 30, 2017.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",time-relative return date; answers name later seasons than the 2017 gold
1103,the cuban revolt against spain was led by,"[""M\u00e1ximo Gomez"", ""Antonio Maceo"", ""Jos\u00e9 Mart\u00ed""]",Carlos Manuel de Céspedes,"Céspedes led the earlier Ten Years' War and is not among the accepted leaders (Martí, Gómez, Maceo) of the revolt referenced.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Cespedes led the 1868 Ten Years' War; gold names the 1895 leaders
1106,colby chees is named after a town in what state,"[""Wisconsin""]",Kansas,"Colby cheese is named after Colby, Wisconsin, not Kansas, so the answer states a different fact.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","Colby cheese is named for Colby, Wisconsin"
1125,where are the next two winter olympics going to be held,"[""Beijing"", ""TBD""]","The next two Winter Olympics will be held in Milan and Cortina d'Ampezzo, Italy (2026).","Candidate names Milan–Cortina 2026, not matching the gold answers (Beijing and TBD), and identifies only one host city despite the question asking for two.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'next two' is time-relative; corpus documents Milan-Cortina 2026 and 2030 TBD
1148,who won the 30 man royal rumble match,"[""Shinsuke Nakamura"", ""Randy Orton""]",Drew McIntyre won the 2020 Royal Rumble match.,The gold answers are Shinsuke Nakamura or Randy Orton; naming Drew McIntyre states a different fact.,stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","time-relative; McIntyre won the 2020 Rumble, after the 2018 gold"
1279,who has the highest paid contract in the nba,"[""Stephen Curry""]",Damian Lillard,"The candidate names Damian Lillard, which differs from the gold answer Stephen Curry.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Lillard/Brown extensions postdate the 2017 Curry contract in the gold
1282,who got the most passing yards in the nfl,"[""Peyton Manning""]",Tom Brady,"The candidate names Tom Brady, which differs from the gold answer Peyton Manning.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Brady passed Manning for career passing yards in 2021
1313,who did the astros play last time they were in the world series,"[""White Sox"", ""Los Angeles Dodgers""]","Based on passage [4], the last time before 2021 that the Astros were in the World Series (2019), they lost to the Washington Nationals — but the question asks about their most recent World Series appearance overall, which was in 2021 against the **Atlanta Braves**.","The candidate names the Atlanta Braves (and Washington Nationals), neither of which matches the gold answers of the White Sox or Los Angeles Dodgers.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Astros' most recent World Series at corpus time was 2021 vs Atlanta
1322,when was i can only imagine the song released,"[""1999"", ""2001""]",I Can Only Imagine (from *Nothing but the Beat*) was released as a single on **2 May 2012**.,"The candidate cites a 2012 David Guetta single, not the MercyMe song released in 1999/2001, so it states a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",multiple songs share the title; one answer is the 2012 Guetta track
1370,when does the mlb season start and finish,"[""March 29"", ""October 31, 2018""]",The 2021 MLB season began on April 1 and the regular season ended on October 3.,"The candidate gives 2021 season dates (April 1–October 3), which differ from the gold answers of March 29 and October 31, 2018.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","time-relative season dates; answers give 2021, gold is 2018"
1376,who played tom on as the world turns,"[""Jason Kincaid (1984)"", ""Jason Kincaid"", ""C. David Colson"", ""Peter Galman"", ""Scott Holmes"", ""Gregg Marx"", ""Justin Deas"", ""others"", ""Tom Tammi""]",Daniel Manche,Daniel Manche is not among the recognized actors who portrayed Tom Hughes on As the World Turns.,model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Daniel Manche is not among the many credited Tom actors
1433,who did virginia cavaliers lose to in basketball this year,"[""Virginia Tech"", ""West Virginia"", ""UMBC""]",Syracuse,"Syracuse is not among the accepted gold answers (Virginia Tech, West Virginia, UMBC), so the response states a different fact.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'this year' is time-relative; gold is the 2018 season
1480,where was the first t20 cricket match played,"[""Lord's""]","England and New Zealand, in August 2004.","The candidate names countries and a date rather than the venue Lord's, stating a different fact and failing to identify the required location.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",first T20 overall vs first men's/women's international; gold is Lord's
1496,what culture region is germany a part of,"[""Central Germany""]",Germanic culture,"The candidate says ""Germanic culture,"" which does not match the gold answer ""Central Germany,"" a distinct geographic/cultural region.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",gold names a region within Germany; 'Germanic culture' fits the natural reading
1501,what song did the titanic band play when it sank,"[""\""Autumn\""""]","""Nearer, My God, to Thee""","The gold answer specifies ""Autumn,"" while the candidate names a different tune, ""Nearer, My God, to Thee,"" which does not match the accepted fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","genuinely disputed; 'Nearer, My God, to Thee' is the mainstream account"
1538,most consecutive games with 20+ points - nba history,"[""126""]","Carmelo Anthony, 31 consecutive games",The gold answer is 126 consecutive games (Wilt Chamberlain); the candidate's 31 games for Carmelo Anthony states a different fact.,model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",the record is 126 consecutive 20-point games; answers give 20 and 31
1542,when did american idol end the first time,"[""April 7, 2016""]","American Idol (season 15), which premiered January 6, 2016, was the series' final season to air on Fox.","The candidate gives the premiere date of the final season, not the April 7, 2016 finale date, failing to state when the show ended.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","gives the season-15 premiere date, not the April 2016 end date"
1660,what's the biggest nfl stadium in the united states,"[""Michigan Stadium"", ""MetLife Stadium""]",Los Angeles Memorial Coliseum,"The candidate names Los Angeles Memorial Coliseum, which matches neither gold answer (Michigan Stadium or MetLife Stadium).",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",LA Memorial Coliseum is not the largest NFL stadium under any reading
1699,who won the marathon in new york city,"[""Geoffrey Kamworor""]",Geoffrey Mutai (men's) and Firehiwot Dado (women's) won the 2011 New York City Marathon.,"The candidate names Geoffrey Mutai and Firehiwot Dado for 2011, not the gold answer Geoffrey Kamworor, so it states a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",no year given; answers correctly note multiple winners
1770,when did indoor toilets become common in america,"[""After World War I""]",1890s,"The candidate says 1890s, which differs from the gold answer of after World War I (post-1918).",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",1890s precedes the post-WWI period the gold identifies
1804,who are the two teams in super bowl 2018,"[""New England Patriots"", ""Philadelphia Eagles""]","Super Bowl LIII (played February 2019, for the 2018 season) featured the New England Patriots and the Los Angeles Rams.","The question refers to Super Bowl LII (February 2018), Patriots vs. Eagles; the candidate names the Rams instead of the Eagles, stating a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'super bowl 2018' reads as calendar-year LII or the 2018-season LIII
1811,who does dwyane wade play for right now,"[""the Miami Heat"", ""Miami Heat""]",Dwyane Wade is retired.,"The candidate says Wade is retired rather than naming the Miami Heat, so it does not state the required fact.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","'right now' is time-relative; Wade retired in 2019, before the corpus snapshot"
1837,industrial city in germany on the rhine herne canal,"[""Henrichenburg"", ""Duisburg""]",Herne,"The candidate names Herne, which is not among the accepted gold answers (Henrichenburg or Duisburg), so it states a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",many industrial cities sit on the canal; Herne is one and the gold list is partial
1842,when was penicillin first introduced to the public,"[""After World War II"", ""1942""]",June 1946,"The candidate gives June 1946, which does not match either gold answer of 1942 (or the general ""after World War II"" framing tied to that introduction).",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","'introduced to the public' admits 1942 military, 1945 US civilian, or 1946"
1916,when did ohio state join the big 10,"[""1912""]",1913,"The candidate states 1913, which differs from the gold answer of 1912 (when Ohio State was admitted to the conference).",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Ohio State was admitted in 1912 and began Big Ten play in 1913
1940,who is the present rajya sabha speaker of india,"[""Venkaiah Naidu""]","The Vice President of India serves as the Chairman (Speaker) of the Rajya Sabha, but based on the passages provided, I don't know","The candidate explicitly says it does not know the current officeholder and never names Venkaiah Naidu, so it fails to state the required fact.",judge_strict,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",an uncaught decline: the answer explains the office then says it does not know
1952,who devised the fingerprint classification still used today in europe and the us,"[""Hem Chandra Bose"", ""Azizul Haque"", ""Sir Edward Henry""]",Francis Galton,Galton is not among the gold answers; the classification system in use is the Henry system devised by Edward Henry with Haque and Bose.,model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",the classification in use is the Henry system; Galton devised an earlier one
1964,how many series of diary of a wimpy kid are there,"[""12""]",Eighteen books,"The candidate says eighteen books, which differs from the gold answer of 12.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",the series had grown from 12 to 18 books by the corpus snapshot
1999,the nurses' health study is an example of what type of study,"[""long-term"", ""prospective"", ""prospective studies""]",Cohort study,"The gold answers specify ""prospective""/""long-term""; ""cohort study"" is a different classification (cohort studies can be retrospective) and omits the key prospective descriptor.",judge_strict,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'cohort study' is a correct characterisation; gold says prospective/long-term
2003,what nba player has scored the most 3 pointers,"[""Ray Allen""]",Stephen Curry,"The candidate names Stephen Curry, which does not match the gold answer Ray Allen.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Curry passed Ray Allen for career three-pointers in 2021
2064,what is the population of the tri-cities washington,"[""283,846"", ""over 300,000""]","220,959","The candidate's figure of 220,959 differs from the accepted values of 283,846 or over 300,000, stating a different population fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",city aggregate vs metropolitan-area population
2070,who sang my bucket got a hole in it,"[""Hank Williams""]",Sonny Burgess,"The candidate names Sonny Burgess, not Hank Williams, the gold answer, so it states a different fact.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",the song is Hank Williams'; Sonny Burgess is unrelated
2083,what was the result of the revolt of 1857,"[""British victory"", ""Suppression of the revolt""]",The East India Company's power was transferred to the British Crown.,The candidate names a political consequence (Crown rule) rather than stating the revolt's outcome—British victory/suppression—so it does not match the gold fact.,ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'result' admits military outcome (gold) or constitutional consequence (answer)
2092,where does the term the west come from,"[""the Roman Empire""]","The term ""the West"" derives from the Germanic word for ""west,"" rooted in the Indo-European root *wes* (reduced from *wes-pero*, meaning ""evening, night""), reflecting the direction of the setting sun.","The gold answer attributes the term's origin to the Roman Empire's east-west division, while the candidate gives an etymological derivation from Indo-European roots, a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'where does the term come from' admits etymology or historical referent
2108,when was the last time mount ruapehu erupted,"[""25 September 2007""]",13 July 2009,"The candidate gives 13 July 2009, a different date than the gold answer of 25 September 2007.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",2009 is not a post-2018 update of the 2007 gold; both predate NQ's vintage
2133,who is the oldest wrestler that is still wrestling,"[""Dory Funk Jr.""]",Great Kojika,"The candidate names Great Kojika, a different wrestler than the gold answer Dory Funk Jr.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'oldest still wrestling' is time-relative and depends on who counts as active
2135,what's the name of the last mission impossible movie,"[""Mission: Impossible \u2013 Fallout""]",Mission: Impossible – Dead Reckoning Part One,"The candidate names Dead Reckoning Part One, a different film from the gold answer Mission: Impossible – Fallout.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",Dead Reckoning Part One (2023) succeeded Fallout as the latest film
2145,who is playing the halftime show for the superbowl,"[""Justin Timberlake""]","Maroon 5 (with Big Boi and Travis Scott), for Super Bowl LIII.","The candidate names Maroon 5 for Super Bowl LIII, not the gold answer Justin Timberlake, so it states a different fact.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","time-relative; Maroon 5 played the 2019 halftime show, after the 2018 gold"
2167,when is the next deadpool movie being released,"[""May 18, 2018""]","May 3, 2024","The candidate gives May 3, 2024, which differs from the gold answer of May 18, 2018.",stale_gold,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",'next deadpool movie' is time-relative; the 2024 film postdates the gold
2170,what percentage of the earth's surface is water,"[""78%"", ""roughly 78%""]",70.8%,"The candidate gives 70.8%, which differs from the accepted answer of roughly 78%.",unresolved,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",RUBRIC GAP: gold 78% is factually wrong; ~71% is correct and the answers give it
2211,who won the world cup in cricket 2017,"[""Pakistan""]","England won the 2017 Women's Cricket World Cup, defeating India in the final.","The expected answer is Pakistan (2017 Champions Trophy), whereas the candidate names England, a different fact from the gold answer.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending","the 2017 Cricket World Cup was the Women's, won by England; gold names the Champions Trophy"
2213,where does the water from the california aqueduct come from,"[""Sierra Nevada Mountains"", ""the Sierra Nevada Mountains""]","The California Aqueduct's water comes from the Sacramento-San Joaquin Delta (originating at the Clifton Court Forebay), transferring water from Northern California.","The candidate cites the Sacramento-San Joaquin Delta/Clifton Court Forebay rather than the Sierra Nevada Mountains named in the gold answers, stating a different fact.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",ultimate source (Sierra snowmelt) vs the aqueduct's intake (the Delta)
2218,a political leader during the roman empire was called,"[""emperors""]",Augustus,"The gold answer is the title ""emperor""; ""Augustus"" names a specific individual rather than the general term for a Roman Empire political leader.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",question asks what leaders were called; the answer names a person
2275,when did harvard become an ivy league school,"[""1945""]",1954,"The candidate states 1954, which differs from the gold answer of 1945.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",1945 Ivy Group Agreement vs the mid-1950s formal league
2277,who proposed that electrons behave like waves and particles,"[""Einstein""]",Louis de Broglie,"The candidate names de Broglie, a different person than the gold answer Einstein.",unresolved,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",RUBRIC GAP: gold 'Einstein' appears incorrect for electrons; de Broglie proposed matter waves
2284,how many co2 molecules are produced in aerobic respiration,"[""6""]",2 CO2 molecules (per acetyl-CoA in the Krebs cycle),"The gold answer is 6 CO2 per glucose in aerobic respiration; the candidate gives 2 per acetyl-CoA, a different value not matching the expected fact.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",per glucose the answer is 6; the answer gives 2 per acetyl-CoA
2295,what is the ultimate objective of financial management,"[""Profit maximization""]",Maximisation of shareholders wealth.,"The gold answer specifies profit maximization, while the candidate states shareholder wealth maximization, a distinct and different objective.",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",contested textbook answer; wealth maximisation is the standard modern statement
2310,what is the name of the under butler in downton abbey,"[""Charles Carson"", ""Mr Carson""]",Thomas Barrow,"The candidate names Thomas Barrow, which does not match either accepted gold answer (Charles Carson/Mr Carson).",unresolved,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",RUBRIC GAP: gold names the butler (Carson); Thomas Barrow is the under-butler
2404,philadelphia is known as the city of what,"[""City of Brotherly Love"", ""Brotherly Love""]","Philadelphia is known as the ""City of Brotherly Love""

I don't know

Wait — that answer is not supported by the passages provided.

I don't know","Although it mentions ""City of Brotherly Love,"" the response ultimately retracts it and states ""I don't know,"" failing to commit to an answer.",model_error,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",states the gold then retracts it twice; the judge's rule covers this explicitly
2504,the first significant restriction on free immigration in u.s. history was the,"[""Naturalization Act of 1790"", ""Chinese Exclusion Act in 1882""]",The Page Act of 1875.,"The candidate names the Page Act of 1875, which does not match either gold answer (Naturalization Act of 1790 or Chinese Exclusion Act of 1882).",ambiguous_question,"claude-opus-5 (in-session, 2026-09-11); PROVISIONAL, human spot-check pending",the Page Act 1875 is commonly cited as the first restrictive federal immigration law
