qid,label_a,label_b,reason_a,reason_b,question,golds,adjudicated,class
115,eligible,eligible,"The passages confirm Moseley joined Rutherford's team at Manchester, so the gold answer[passage text redacted]is correct and directly supported.","The question asks who led the Manchester research team Moseley joined, and the passages state that Moseley was part of[passage text redacted]at Manchester, matching the gold.",who was the famous scientist that ran the research lab moseley went to in manchester,"[""Sir Ernest Rutherford""]",eligible,eligible
125,eligible,unanswerable,"The passages confirm six seasons[passage text redacted](1-6), and the show is widely known to have run for seven seasons total, matching the gold answer even though only six are detailed here.","The question is clear and the gold of seven seasons is correct for the CBS sitcom, but the passages only describe seasons one through six and never state the total number of seasons.",how many seasons of rules of engagement is there,"[""7"", ""seven""]",eligible,eligible
129,stale_gold,stale_gold,"The passages show the current U.S. Senat[passage text redacted]Patty Murray, not Orrin Hatch or Patrick Leahy, indicating the gold answer is outdated and also ambiguous as the question doesn't specify which country's or state's senate.","The question asks who currently holds the office (apparently the US Senat[passage text redacted]), and the gold names Hatch/Leahy while the passages state the current holder is Patty Murray since January 2023, so a correct current answer would not match the gold.",who is currently serving as president of the senate,"[""Orrin Hatch"", ""Patrick Leahy""]",ineligible,stale_gold
132,eligible,eligible,"The passages confirm Australia won 16 gold medals at the 2000 Sydney Olympics, matching the recorded gold answer.","The question specifies a single event (the 2000 Sydney Olympics), and the passages directly confirm Australia won 16 gold medals there, matching the gold answer.",how many gold medals did australia win in the 2000 olympics,"[""16""]",eligible,eligible
151,wrong_gold,wrong_gold,"The passages show the US primarily and firs[passage text redacted]in April 1917, so Germany is the more accurate answer while Austria-Hungary came later and is only a partial/secondary answer.","The primary and expected answer is Germany (declared April 6, 1917), and while the US later declared war on Austria-Hungary, listing only Austria-Hungary as the gold omits and misrepresents the main declaration emphasized in the passages.",who did america declare war on in ww1,"[""Austria-Hungary""]",ineligible,wrong_gold
153,eligible,unanswerable,"The passages confirm Tom Hanks played a marooned FedEx employee in Cast Away, consistent with the gold answer Chuck Noland, though the exact name isn't spelled out verbatim, it's a well-known fact matching the character described.","The gold name Chuck Noland is correct for Tom Hanks's role in Cast Away, but the provided passages only describe him as a FedEx employee stranded on an island without ever naming the character.",what was tom hanks character name in castaway,"[""Chuck Noland""]",eligible,eligible
180,eligible,eligible,"The passages confirm Willem-Alexander is King and Máxima i[passage text redacted], matching the recorded gold answers.","The question asks for the current Dutch monarch and his consort, and the passages confirm that Willem-Alexander and Máxima[passage text redacted]in 2013, matching the gold answers.",who is the king and queen of the netherlands,"[""Queen M\u00e1xima of the Netherlands"", ""King Willem-Alexander""]",eligible,eligible
188,eligible,eligible,"The passages clearly confirm that California's Proposition 103 (1988) made the[passage text redacted], matching the recorded gold answers.","Although the question omits the state, the passages clearly support Proposition 103 as the measure that converted[passage text redacted]into an elected office, matching the recorded golds.",what proposition made the insurance commissioner an elected position,"[""Proposition 103"", ""Proposition 103 in 1988""]",eligible,eligible
206,unanswerable,unanswerable,"The passages discuss The Miz and Maryse's storylines but never mention the reality TV series 'Miz & Mrs.' or its premiere date, so the gold year cannot be confirmed from this corpus.","The question asks for the start date of the Miz & Mrs. reality show, and while the gold year 2018 is plausible, none of the supplied passages mention that show or its premiere date.",when does the miz and maryse show start,"[""2018""]",ineligible,unanswerable
217,wrong_gold,ambiguous,"The question asks about individual gold medal count, and the record is held by Bjørn Dæhlie/[passage text redacted](8 golds each) not the country Norway, so the recorded answer conflates athlete and country and does not correctly answer the question as most naturally interpreted (though even for count","The question could mean the nation with the most all-time[passage text redacted]s or an individual athlete with the most, and the passages point to both a country (Norway) and an athlete record holder, so the intended sense is underdetermined; moreover the provided passages never state the all-time nat",who has the most gold medals in the winter olympics of all time,"[""Norway""]",ineligible,ineligible_class_disputed
233,unanswerable,ambiguous,"The passages discuss the history and development of CPUs and microprocessors but never mention John von Neumann or credit him with developing the CPU, so the gold answer cannot be verified from this text.","The question doesn't specify whether it asks about the conceptual CPU/stored-program architecture (von Neumann) or the first single-chip CPU/microprocessor (Hoff, Faggin, Shima, Mazor, or Boone), and the passages credit the latter developers, so no single answer is determined.",who developed the central processing unit (cpu),"[""John von Neumann""]",ineligible,ineligible_class_disputed
235,eligible,eligible,"The passages confirm Katie fled from her abusive, alcoholic husband Kevin after stabbing[passage text redacted], matching the gold answer.","The passages confirm Katie fled Boston[passage text redacted],[passage text redacted] Kevin, matching the recorded gold answer.",what is katie running from in safe haven,"[""her abusive husband""]",eligible,eligible
249,eligible,eligible,"The passages confirm Afghanistan joined in 2007 as the 8th and most recent member, matching the recorded gold answer.","The question asks which country joined SAARC most recently, and the passages confirm Afghanistan became the eighth and latest member in 2007, matching the gold.",which country is the last member of saarc,"[""Afghanistan""]",eligible,eligible
261,eligible,eligible,"The passages confirm Ricky Nelson played the character Colorado (referred to as the Colorado Kid) in Rio Bravo, matching the gold answer.","The passages confirm Ricky Nelson portrayed the young gunfight[passage text redacted]the 1959 film Rio Bravo, matching the recorded gold.",who played the colorado kid in rio bravo,"[""Ricky Nelson""]",eligible,eligible
264,eligible,eligible,"The passage explicitly states[passage text redacted]membership was recommended by[passage text redacted], confirming the gold answer matches the question.","The question has a single determinate answer, and the passages explicitly identify Lord Irwin as the Viceroy at the time[passage text redacted]ppointed and visited India.",who was the viceroy when the simon commission visited india,"[""Lord Irwin""]",eligible,eligible
268,eligible,eligible,The passages consistently confirm that the US boycotted only[passage text redacted]matching the gold answer.,"The question clearly asks about the Olympics the US skipped, and the passages repeatedly confirm the 1980 Moscow Summer Olympics boycott, matching the gold.",when did the us not go to the olympics,"[""The 1980 Summer Olympics"", ""1980""]",eligible,eligible
279,unanswerable,ambiguous,The passages mention[passage text redacted][passage text redacted]but do not specifically identify or confirm ownership of[passage text redacted] located[passage text redacted],"There are multiple Crowne Plaza-branded hotels in the Chicago area (e.g., downtown Loop, O'Hare, Northbrook), and the question specifies no particular property; moreover ownership of a franchised hotel differs from the brand owner, so the entity asked about is underdetermined.",who owns the crown plaza hotel in chicago illinois,"[""InterContinental Hotels Group""]",ineligible,ineligible_class_disputed
286,eligible,eligible,"The passages confirm the US declared war on and fought against Germany (and Austria-Hungary via forces alongside Italy), matching the recorded gold answers.","The question is clear and the passages confirm that American forces fought[passage text redacted]and Austro-Hungarian troops, matching the recorded gold answers.",who did us fight in world war 1,"[""Germany"", ""Austria-Hungary""]",eligible,eligible
287,eligible,eligible,"The passages confirm the play premiered in 1966, matching the recorded gold answer.","The question asks when the play was written, and the passages support 1966 as the date of the play (premiered at[passage text redacted], referred to as the 1966 play), matching the gold.",when was rosencrantz and guildenstern are dead written,"[""1966""]",eligible,eligible
290,unanswerable,wrong_gold,"The gold answer is a placeholder ('---') with no numeric value, and the passages describe individual pig breeds but never state a total count of pig breeds in the UK.","The gold answer is just a placeholder dash, providing no factual count of UK pig breeds, so it cannot be a correct response to the question.",how many breeds of pigs are there in the uk,"[""---""]",ineligible,ineligible_class_disputed
291,ambiguous,ambiguous,"There were multiple 'Battles of Corinth' (First and Second, and also ancient Greek battles near Corinth), but both took place in or near[passage text redacted] for the Civil War ones, so the question doesn't specify which battle, though the gold answer matches[passage text redacted] battles' location;",The question doesn't specify which Battle of Corinth — there are multiple ancient Greek battles at/near Corinth as well as the First and Second Battles of Corinth in Mississippi[passage text redacted] — so the entity is underdetermined.,where did the battle of corinth take place,"[""in Corinth, Mississippi"", ""Corinth, Mississippi""]",ineligible,ambiguous
295,ambiguous,ambiguous,"The question asks for exactly 4 types but there are 5 canonical nitrogenous bases (with DNA and RNA each having 4, differing only in thymine vs uracil), so the intended answer set depends on whether DNA or RNA is meant, making the 5-item gold not a clean answer to 'the 4 types'.","The question asks for 4 types of nitrogenous bases without specifying DNA or RNA, yet the gold lists five bases, so the intended set (A/T/C/G vs A/U/C/G) is underdetermined and mismatched with the requested count.",what are the 4 types of nitrogenous bases,"[""cytosine (C)"", ""adenine (A)"", ""uracil (U)"", ""thymine (T)"", ""guanine (G)""]",ineligible,ambiguous
296,eligible,eligible,"The gold answer (group 1, s-block) is factually correct and consistent with common knowledge, and the passages support alkali metals being group 1 elements with s-orbital valence electrons.","The question is clear and the gold answers (s-block, group 1) are correct, and the passages support this by describing alkali metals as group 1 elements with a single outer s-electron[passage text redacted]table.",where are alkali metals located on the periodic table,"[""in the s-block"", ""group 1""]",eligible,eligible
307,eligible,eligible,"The question is broad enough to cover the whole Pooh book series, and the four gold years correspond to the publication dates of Milne's four Pooh-related books cited in the passages.","The question asks when the Winnie the Pooh books were written, and the gold set lists the publication years of the four Milne volumes (1924, 1926, 1927, 1928), all directly supported by the passages.",when were the winnie the pooh books written,"[""1924"", ""1926"", ""1927"", ""1928""]",eligible,eligible
318,eligible,ambiguous,"The gold answers correctly reflect the multi-stag[passage text redacted] in Canada (1976 for civilian crimes, 1998 for military offenses), which is supported by the passages.","The question doesn't specify whether it means abolition for civilian/criminal offences (1976) or complete abolition including military offences (1998), and the gold list itself reflects this indeterminacy with multiple conflicting dates.",when did canada get rid of the death penalty,"[""July 14, 1976"", ""1976"", ""1998""]",eligible,eligible
319,ambiguous,stale_gold,"The question doesn't specify which season of Gotham is meant, but the passages and gold only address season 4's premiere date, leaving the intended season underdetermined by the phrase ""new Gotham season"".","The question asks when the ""new"" Gotham season arrives, and the gold refers to the season 4 premiere in 2017, but the passages show the series ran through five seasons ending in April 2019, so the current answer drawn from them would not match.",when does the new gotham season come out,"[""September\u00a021,\u00a02017"", ""September 21, 2017""]",ineligible,ineligible_class_disputed
337,eligible,eligible,"The passage explicitly states[passage text redacted]influenced A Shrew, supporting the gold answer as the earliest documented performance/composition bound.","The question asks when the play was first performed/written, and the passage supports the gold via the scholarly argument that it must date to before the June 1592 theatre closures, so the answer is retrievable from the corpus.",when was the taming ofthe shrew first performed,"[""prior to June 1592""]",eligible,eligible
350,eligible,eligible,"The passages confirm that ""Sacrifice"" was released as a single from Elton John's 1989 album[passage text redacted]matching the gold answer.","The question clearly asks which album contains Elton John's song ""Sacrifice,"" and the passages link it to the 1989 album[passage text redacted] (alongside ""Healing Hands""), matching the gold answer.",what album is sacrifice by elton john on,"[""Sleeping with the Past."", ""Sleeping with the Past""]",eligible,eligible
352,eligible,eligible,"The passage explicitly confirms Ashrita Furman holds the Guinness title for[passage text redacted], matching the gold answer.","The passage explicitly states[passage text redacted]named Ashrita Furman the [passage text redacted], matching the gold, and no later contradicting holder is given.",who holds the world record for the most world records,"[""Ashrita Furman""]",eligible,eligible
371,eligible,eligible,"The passage explicitly states that[passage text redacted] in New Zealand, supporting the gold answers of agriculture/pastoral farming.","The question asks what most New Zealand land is used for, and the passages state that[passage text redacted]dominant land use and that[passage text redacted]tradable sector, matching both recorded golds.",most of new zealands land supports which economic activity,"[""agriculture"", ""Pastoral farming""]",eligible,eligible
382,eligible,eligible,"The passages confirm Rory and Paris both attend Yale, matching the recorded gold answer.","The passages clearly state that Rory attends Yale and Paris arranges to be her roommate there, matching the recorded gold of Yale University.",where do rory and paris go to college,"[""Yale University"", ""Yale University,""]",eligible,eligible
399,eligible,eligible,"The passages consistently confirm the order[passage text redacted], matching the recorded gold answer.","The question is clear and the passages repeatedly confirm the order[passage text redacted], matching the gold answer.",when did the the regulatory reform (fire safety) order 2005 first come into effect,"[""1 October 2006""]",eligible,eligible
400,ambiguous,ambiguous,The question does not specify whether it refers to the English Bill of Rights of 1689 or[passage text redacted] of[passage text redacted]are documented in the passages.,"The question doesn't specify which Bill of Rights — the English one of 1689 or the United States one ratified in 1791 — and the passages discuss both, so no single date is determined.",when did the bill of rights come out,"[""1689"", ""16 December 1689""]",ineligible,ambiguous
416,ambiguous,unanswerable,"There are multiple people named Doug/Doug-like Peterson referenced (and none clearly named 'Doug' at all) in the passages, making it unclear which individual and which position is being asked about.","The question asks about Doug Pederson (quarterback/holder), but the supplied passages only cover other Petersons such as Adrian, Calvin, and Kamau, so they do not support the recorded gold.",what position did doug peterson play in the nfl,"[""holder on placekicks"", ""quarterback""]",ineligible,ineligible_class_disputed
419,eligible,eligible,"The passages confirm the UK publicat[passage text redacted]occurred on 26 June 1997, matching the gold answer of 1997.","The question asks for the publication date[passage text redacted]book, and the passages confirm the UK publication in June 1997, matching the recorded gold of 1997.",when was harry potter and the philosophers stone published,"[""in 1997"", ""1997""]",eligible,eligible
421,eligible,eligible,"The passage confirms halfpipe skiing was introduced as a new Olympic sport at the 2014 Sochi Winter Olympics, matching the gold answer.","The question asks when ski halfpipe became an Olympic event, and a passage explicitly identifies halfpipe as a new Olympic sport at the 2014 Sochi Games, matching the gold.",when did skiing halfpipe become an olympic event,"[""2014""]",eligible,eligible
422,eligible,eligible,"The passages confirm that both[passage text redacted]and[passage text redacted]are the primary teams that play[passage text redacted], matching the gold answers.",The passages directly state that the arena's home teams are the NHL[passage text redacted]Seton Hall'[passage text redacted]matching both recorded golds.,who plays at the prudential center in newark,"[""Seton Hall Pirates"", ""New Jersey Devils""]",eligible,eligible
433,eligible,eligible,"The passages confirm the Emperor in Star Wars is Palpatine, also known as Darth Sidious, matching both recorded gold answers.","The question clearly asks for the Star Wars Emperor's name, and the passages repeatedly identify him[passage text redacted]matching the recorded golds.",what was the emperor name in star wars,"[""Darth Sidious"", ""Sheev Palpatine""]",eligible,eligible
442,eligible,eligible,"The passages confirm the book and film title is 'Marley & Me,' not 'Marley and I,' matching the gold answer.","The question asks which title form is correct for the book/film, and the passages consistently confirm the gold answer ""Marley & Me"".",is it marley and me or marley and i,"[""Marley & Me""]",eligible,eligible
444,eligible,eligible,"The passages clearly confirm Seattle Slew[passage text redacted] in 1977, matching the gold answer.","The question names a specific horse, and the passages repeatedly confirm Seattle Slew[passage text redacted] in 1977, matching the gold.",when did seattle slew win the triple crown,"[""1977"", ""in 1977""]",eligible,eligible
447,wrong_gold,unanswerable,"Super Bowl 2018 (LII) halftime show was headlined by Justin Timberlake according to general knowledge, but the passages only discuss surrounding context ([passage text redacted] coverage shift) without confirming this, and the other years' halftime shows described (Katy Perry, Lady Gaga, Lopez/Shakira,","The question specifies the 2018 Super Bowl (LII) and Justin Timberlake is the correct headliner, but the provided passages only discuss halftime shows for other years and never mention him.",who is super bowl 2018 half time show,"[""Justin Timberlake""]",ineligible,ineligible_class_disputed
450,eligible,eligible,"The passage explicitly states[passage text redacted]with[passage text redacted]from Richard Stilgoe, matching the recorded gold answers.",The passages directly state that[passage text redacted]the musical with[passage text redacted][passage text redacted]matching the accepted gold variants.,who wrote lyrics for phantom of the opera,"[""Charles Hart"", ""Charles Hart and Richard Stilgoe"", ""Richard Stilgoe""]",eligible,eligible
453,eligible,eligible,"The passages confirm the LAD[passage text redacted][passage text redacted], following[passage text redacted], supporting the gold answer.","The question asks where the LAD is located, and the passages explicitly state it[passage text redacted], following[passage text redacted], which matches the recorded gold.",where is the left anterior descending artery located,"[""the left coronary artery""]",eligible,eligible
476,eligible,eligible,"The passage explicitly states that Jon Lester's May 19, 2008 no-hitter is the most recent one in Red Sox history, matching the gold answer.","The passages explicitly state that[passage text redacted], matching the gold answer, and no later Red Sox no-hitter appears in the passages.",when was the last time the boston red sox pitched a no-hitter,"[""May 19, 2008""]",eligible,eligible
482,eligible,unanswerable,"The question clearly asks about the 2006 World Cup,[passage text redacted]of Italy is correctly known as the winner of the Golden Glove ([passage text redacted]) that year, consistent with context in the passages referencing him as Italy's goalkeeper-captain at that tournament.","The question specifies a clear edition (2006 World Cup) and Buffon indeed won the Yashin/Lev Yashin Award that year, but the supplied passages only discuss 1998, 2010 and 2014 goalkeeper awards and never state the 2006 winner.",who won the award for best goalkeeper in football world cup 2006,"[""Gianluigi Buffon""]",eligible,eligible
484,eligible,eligible,"The question asks which device builds routing tables identifying network addresses, and the passages confirm a router creates and[passage text redacted] for this purpose, matching both gold answers.","The question describes a router (a network connection device that builds tables identifying addresses on each network), and the passages confirm routers maintain routing tables listing[passage text redacted]; the gold includes ""a router,"" so the item is answerable despite the sloppy alternate gold.",is a network connection device that can build tables that identify addresses on each network,"[""routing table"", ""a router""]",eligible,eligible
486,eligible,eligible,"The passages confirm that ""Mirror Image"" was indeed the series finale episode of Quantum Leap, matching the recorded gold answer.","The passages explicitly identify the series finale of Quantum Leap as ""Mirror Image,"" matching the recorded gold answer, and the question is unambiguous about the original series' last episode.",what was the final episode of quantum leap,"[""\""Mirror Image\""""]",eligible,eligible
488,stale_gold,ambiguous,"The question has no fixed timeframe but the passages show multiple later appointments (e.g.,[passage text redacted], Arun Goel, Rajiv Kumar) after Rawat, making the recorded gold outdated relative to the corpus's information.","The question gives no date and doesn't distinguish between[passage text redacted], so many different people (Rawat, Pandey, Goel, Rajiv Kumar) could be the intended answer depending on the time and role meant.",who has been appointed as the election commissioner of india,"[""Om Prakash Rawat""]",ineligible,ineligible_class_disputed
491,unanswerable,unanswerable,"The passages discuss top-level domains, subdomains, and[passage text redacted] in various contexts but never explicitly enumerate or define the general 'parts' of a domain name (subdomain, top-level domain, hostname) as a unified answer.","The gold list of domain-name components (hostname, subdomain, top-level domain) is reasonable, but the supplied passages only discuss TLDs, suffixes and search domains without enumerating the labels that make up a domain name.",what are the parts of a domain name called,"[""subdomain"", ""top-level domain"", ""hostname""]",ineligible,unanswerable
496,ambiguous,ambiguous,"The question is unclear about which Michigan program/sport's championship is meant, since the passages reference multiple Michigan teams' titles (basketball 1989, football 2004, hockey, etc.), making the single gold answer of 1989 not uniquely determinable from the question alone.","The question doesn't specify which Michigan team or which championship (basketball, football, hockey, conference vs. national, or even Michigan State), so many different answers are defensible beyond the 1989 men's basketball NCAA title.",when was the last time michigan won the championship,"[""1989""]",ineligible,ambiguous
501,eligible,eligible,"The passages directly define crepuscular as the term for animals active mainly at dawn and dusk, matching the recorded gold.","The question asks for the term describing animals active at[passage text redacted]the passages explicitly define crepuscular as exactly that, matching the gold answers.",animals that are active at dawn and dusk,"[""Crepuscular"", ""crepuscular"", ""Crepuscular animals""]",eligible,eligible
508,unanswerable,ambiguous,"The passages only mention[passage text redacted] passing as George Harrison's song without providing details confirming both original artist James Ray and Harrison's cover, so the gold cannot be verified from this corpus.","The question doesn't specify which recording is meant, and the song has both an original 1962 performer (James Ray) and a famous 1987 cover (George Harrison), so no single answer is determined.",who sings got my mind set on you,"[""James Ray"", ""George Harrison""]",ineligible,ineligible_class_disputed
513,unanswerable,unanswerable,"The passages confirm the Lakers won[passage text redacted] series but do not specify who won Game 4 individually, so the question as asked cannot be verified from this text.","The question asks specifically about the winner of Game 4 of[passage text redacted]and while the Lakers won the series 4-2 over Indiana, the passages never state the outcome of individual games, so they do not settle which team won Game 4.",who won game 4 of the 2000 nba finals,"[""Los Angeles Lakers""]",ineligible,unanswerable
518,eligible,eligible,"The passages confirm multip[passage text redacted] across the show's run (Hammond, Louisiana for season one, then Covington/Atlanta/Decatur in Georgia), matching all the recorded gold answers.","The question asks about filming locations for the series, and the passages explicitly list[passage text redacted]for season one plus Covington, Decatur/DeKalb, and Atlanta in Georgia, matching all recorded golds.",where was the tv show in the heat of the night filmed,"[""Decatur in Dekalb County"", ""Atlanta"", ""Covington, Georgia"", ""Hammond, Louisiana""]",eligible,eligible
523,eligible,eligible,"The passage directly supports the gold answer that [passage text redacted]patronymic surname meaning 'son of Robin', so the item is well supported and answerable.","The question asks about the origin of the surname Robinson, and the passages directly state it is an English patronymic surname[passage text redacted] meaning ""son of Robin,"" matching the gold.",what is the origin of the name robinson,"[""English language patronymic surname""]",eligible,eligible
524,wrong_gold,ambiguous,"The question asks for the year of the[passage text redacted], but Super Bowl LII was won in February 2018 (the 2017 season), and 1948 refers to an NFL Championship before[passage text redacted]even existed, so neither gold correctly answers 'the first Super Bowl the Eagles won' as 2018.","The question conflates ""Super Bowl"" wins with league championships, and the two golds reflect these two different readings (the 2017 season's Super Bowl LII win versus the 1948 pre-Super-Bowl NFL title), so no single answer is determined.",when was the first super bowl the eagles ever won,"[""2017"", ""1948""]",ineligible,ineligible_class_disputed
531,unanswerable,unanswerable,"The passages mention Tim Hortons operating in the US from 1995 and expanding stores in 2009, but never state 1981 or any specific date matching the gold answer, so the gold cannot be verified from these passages.","The question is clear and 1981 is the commonly cited year of the first US Tim Hortons location, but the supplied passages only discuss Canadian openings, the 2009 Cold Stone co-branding, and the Burger King merger, never stating when the chain first entered the United States.",when did tim hortons open in the usa,"[""1981""]",ineligible,unanswerable
537,ambiguous,ambiguous,"The question doesn't specify which measurement (Ming-era wall vs total length of all walls across dynasties) is wanted, and different figures like 8,850 km and 21,196 km both appear as legitimate answers depending on the definition used.","The question doesn't specify which measure is meant \u2014 the Ming-era wall length (~8,850 km) or the total of all dynasties' wall sections (~21,196 km) \u2014 and both are recorded as gold, so no single answer is determined.",how many kilometers of great wall of china,"[""8,850\u00a0km"", ""21,196\u00a0km""]",ineligible,ambiguous
551,eligible,eligible,"The passage explicitly states[passage text redacted]52 eleven-minute episodes paired into 26 half-hour broadcast episodes, matching the recorded gold of 26.","The passages state that Adventure Time's first season consists of 52 eleven-minute segments paired into 26 half-hour episodes, matching the gold answer of 26.",how many episodes in adventure time season 1,"[""26""]",eligible,eligible
552,eligible,eligible,"The passages confirm the draft was suspended in January 1973 and the last draftee entered in June 1973, supporting the gold answer of 1973.","The passages confirm the draft was suspended in January/February 1973 with the last draftee inducted June 30, 1973, matching the gold year of 1973.",when did the us stop drafting for the vietnam war,"[""1973""]",eligible,eligible
553,eligible,eligible,"The passages explicitly name the Bellas, Evermoist, and Saddle Up as bands featured in Pitch Perfect 3, matching the gold answers.","The question asks which musical groups appear in Pitch Perfect 3, and the passages name the Bellas, Evermoist, and Saddle Up (plus other acts), supporting the recorded gold answers.",who were the bands in pitch perfect 3,"[""Evermoist"", ""Saddle Up"", ""the Bellas""]",eligible,eligible
559,eligible,unanswerable,"The passages confirm cozonac (kozunak) as the traditional sweet leavened Easter bread in Romania, matching the recorded gold answers.","The gold answers (cozonac/kozunak) are correct for Romania's sweet leavened Easter bread, but the passages only mention cozonac in a list of Moldovan/Romanian holiday baked goods without identifying it as the sweet leavened Easter bread, so they don't settle the question.",sweet leavened bread prepared for easter in romania,"[""Kozunak"", ""Cozonac""]",eligible,eligible
565,eligible,eligible,"The passages confirm that[passage text redacted]t official currency is the won, matching the recorded gold answer.","The question asks for[passage text redacted], the gold answer ""won"" is correct and current, and the passages confirm[passage text redacted]in 1962 and remains the currency.",what is the money called in south korea,"[""won"", ""The won""]",eligible,eligible
590,eligible,wrong_gold,"The passage confirms Coroebus of Elis won[passage text redacted]ancient Olympic footrace (the stade/stadion, roughly a 200-yard sprint), matching the gold answer.","The question asks about the two-stade (diaulos) race, roughly 200 yards, which was introduced in 724 BC and whos[passage text redacted] was Hypenus/Acanthus-era figures, not Coroebus, who won the single-stade (~200 yard?) race of 776 BC; more precisely the gold names the winner of the one-stade race",who won first ancient olympic 200 yard race,"[""Coroebus of Elis""]",eligible,eligible
591,unanswerable,unanswerable,"The passages discuss five-spice powder's uses and variations but never actually list its constituent spices, so the gold answer cannot be verified from this corpus.","The gold list of the five spices is factually correct, but the supplied passages only mention five-spice powder in passing without ever enumerating its constituent spices, so they cannot settle the question.",what are the spices in chinese 5 spice powder,"[""Sichuan pepper"", ""Cloves (dingxiang \u4e01\u9999)"", ""Star anise"", ""Cloves"", ""Chinese cinnamon"", ""Fennel seeds""]",ineligible,unanswerable
604,unanswerable,unanswerable,"None of the provided passages mention the film El Dorado or the character Maudie, so the gold answer cannot be verified from this context.","The question about the actress playing Maudie in the 1966 Western El Dorado has a sound gold answer, but none of the provided passages mention that film's cast, so they cannot settle it.",who played maudie in the movie el dorado,"[""Charlene Holt""]",ineligible,unanswerable
