qid,question,expected_files,expected_symbols,difficulty,category,notes,scaling_subset,in_stuffed_prefix,expected_files_last_modified,excluded,exclusion_reason
agentic_hil_q27,Where is the machine-wide mutex that stops two processes driving the same probe or serial port at once?,src/agentic_hil/bench.py,BenchMutex;DeviceBusyError;device_lock_root,locate,bench locking,Described by behaviour; the lock files deliberately live outside state_root,true,,2026-09-07T01:33:01+02:00,false,
agentic_hil_q28,Where is the reactor that walks a test plan's steps and drives each one against the device it names?,src/agentic_hil/test_reactor.py,TestReactor;TestStep;StepDevice,locate,test plans,The largest module in the package; the question is which of several plan-shaped files owns the loop,false,,2026-09-06T20:05:55+02:00,false,
agentic_hil_q29,Where is the closed JSON Schema that decides which actions and keys a test plan may contain?,src/agentic_hil/schemas/testconfig.schema.json,x-since-version;uart_expect;run_until_breakpoint,locate,test plans,Non-Python file inside the package; checks the arms are not implicitly Python-only,false,,2026-09-01T20:17:44+02:00,false,
agentic_hil_q30,"Where is the harness that runs this project's bench checks through the installed agentic-hil command against a real board, rather than through pytest?",tools/bench_battery.py,Battery;report_document;too_old_to_measure,locate,tooling,Repo tooling; outside both the package and its test suite,false,,2026-09-06T08:44:58+02:00,false,
agentic_hil_q31,Where are the tests that prove one run's hold on a board is seen by a second process started from a different state_root?,tests/test_bench_mutex.py,BenchMutex;DeviceBusyError;test_two_state_roots_on_one_board_see_each_other,locate,tests,Deliberately outside the package so the set is not confined to src/agentic_hil/,false,,2026-09-07T04:48:05+02:00,false,
agentic_hil_q32,"What does read_elf_symbol report for a name the symbol table carries with a zero size, and how does that differ from a name it does not carry at all?",src/agentic_hil/elfsymbols.py,read_elf_symbol;_read_symbol,trace,symbols,no_size versus not_found; the two silences have different repairs and the reasoning is source-only,true,,2026-09-01T20:17:44+02:00,false,
agentic_hil_q33,"What does read_intel_hex_file return when the dump does not cover every byte of the window it was asked for, or writes one address twice with different values?",src/agentic_hil/gdbmi.py,read_intel_hex_file;parse_intel_hex_record,trace,memory dumps,Never a partial answer; the reasoning is written in the docstring,true,,2026-09-07T01:33:03+02:00,false,
agentic_hil_q34,"What three claims can a read_symbol plan step make about the number a symbol holds, and what does its signed flag select?",src/agentic_hil/test_reactor.py,SymbolComparator;masked_value;value_signed,trace,test plans,"equals, range and mask; signed picks which of the two integer readings the claim is judged against",true,,2026-09-06T20:05:55+02:00,false,
agentic_hil_q35,What does BenchMutex.acquire do when it is asked for several devices and one of them is already held by somebody else?,src/agentic_hil/bench.py,BenchMutex;_take;DeviceBusyError;validated_wait,trace,bench locking,All-or-nothing over the sorted resource names plus the bounded wait; both halves are needed,true,,2026-09-07T01:33:01+02:00,false,
agentic_hil_q36,What does the adoption plan do when a debugger entry's configured probe_id names a different probe from the one attached?,src/agentic_hil/adopt.py,plan_adoption;_different_board;configured_probe_id,trace,config adoption,The whole plan is refused rather than the one field skipped; the reason is in the source,false,,2026-09-06T20:05:55+02:00,false,
agentic_hil_q37,"What does decode_symbol_value do with bytes whose length is not 1, 2, 4 or 8, and where does the byte order it decodes with come from?",src/agentic_hil/backends/gdbdebug.py;src/agentic_hil/elfsymbols.py,decode_symbol_value;image_byte_order;read_elf_byte_order;INTEGER_VALUE_WIDTHS,trace,symbols,Crosses from the debug backend into the ELF reader for the image's own EI_DATA,false,,2026-09-07T07:13:04+02:00,false,
agentic_hil_q38,"How does a uart_expect step decide the serial line said what the plan claimed it would, and how are the raw wire bytes that satisfied it recovered?",src/agentic_hil/test_reactor.py;src/agentic_hil/comports.py,UartRunner;StepComparator;decode_bytes;matched_span_bytes,multi_hop,serial,"Rolling decoded window judged as text, then sliced back out of the receive buffer by span",false,,2026-09-07T09:00:25+02:00,false,
agentic_hil_q39,"How does a plan step that breaks on a named symbol get from the plan file to a breakpoint inserted in GDB, and what can refuse it on the way?",src/agentic_hil/test_reactor.py;src/agentic_hil/backends/gdbdebug.py,breakpoint_symbol;symbol_allowed;set_breakpoint;normalize_breakpoint_location,multi_hop,debugging,Plan-side allowlist and backend-side permission are two separate gates,false,,2026-09-07T07:13:04+02:00,false,
agentic_hil_q40,How does agentic-hil init on a machine with an ST-Link attached end up with a configuration file that names that probe's serial?,src/agentic_hil/cli.py;src/agentic_hil/tools.py;src/agentic_hil/adopt.py;src/agentic_hil/bootstrap.py;src/agentic_hil/backends/stlink.py,discover_for_generation;discover_under_hardware_lease;discover_attached_hardware;enumerate_attached_probes;stlink_probe_ids;apply_discovery_to_template,multi_hop,bootstrap,"Five hops; discover_for_generation is the indirection cli.py goes through on every route, and it forks: an unprovisioned workspace takes the unpoliced bootstrap read, a loadable configuration takes adopt.py's leased read. A complete answer covers both forks; a one-route answer is partial and shows as such in all_files_hit",false,,2026-09-07T12:07:48+02:00,false,
