qid,question,expected_files,expected_symbols,difficulty,category,notes,scaling_subset,in_stuffed_prefix,expected_files_last_modified,excluded,exclusion_reason
agentic_hil_q13,"What does spawn_command return when the configured executable is not there, and how is that distinguished from one that is there but will not run?",src/agentic_hil/backends/common.py,spawn_command;CompletedCommand;not_executable_refusal,trace,backends,Two failure modes with two different repairs; both halves needed,false,,2026-09-06T11:31:00+02:00,false,
agentic_hil_q14,"What does verify_port_identity compare before a serial port is opened, and what does it do when the configured USB VID/PID does not match the host port?",src/agentic_hil/comports.py,verify_port_identity;expected_port_identity;PortIdentity,trace,serial,Identity check plus its mismatch branch,false,,2026-09-07T09:00:25+02:00,false,
agentic_hil_q15,"What does terminate_process_tree do on POSIX to stop a backend's children, and how does it decide the group is actually gone?",src/agentic_hil/process.py,terminate_process_tree;_terminate_process_tree;_signal_process_group,trace,process,Process-group signalling; the Darwin zombie caveat is in the docstring,false,,2026-09-06T16:25:30+02:00,false,
agentic_hil_q16,"What does HardwareLease.quarantine do, and how does it differ from HardwareLease.release?",src/agentic_hil/coordination.py,HardwareLease;quarantine;release,trace,coordination,Two methods on one class; the contrast is the answer,false,,2026-09-07T12:07:47+02:00,false,
agentic_hil_q17,"What does flash_firmware do with the artifact before handing it to the backend, and what happens to that staged copy afterwards?",src/agentic_hil/tools.py;src/agentic_hil/artifacts.py,flash_firmware;stage_for_backend;release_stage,trace,artifacts,Crosses from the tool service into the artifact manager via a finally block,false,,2026-09-07T01:33:02+02:00,false,
agentic_hil_q18,"What does start_detached_run do that a foreground plan run does not, and what does it write so a later call can find the run again?",src/agentic_hil/runlifecycle.py,start_detached_run;spawn_run_worker;write_run_record,trace,run lifecycle,Worker spawn plus the run record; partial answers are visible in the symbol score,false,,2026-09-07T12:07:47+02:00,false,
agentic_hil_q19,How is an MCP tools/call result stopped from carrying a secret back to the client?,src/agentic_hil/mcp.py;src/agentic_hil/redact.py,call_tool;redact_sensitive;tool_result_text,multi_hop,security,Envelope to redactor; defence-in-depth described in a comment at the call site,false,,2026-09-06T20:05:54+02:00,false,
agentic_hil_q20,"How does a flash_firmware MCP call reach the ST-Link programmer, and what refuses it when flashing is disabled in the authoritative config?",src/agentic_hil/mcp.py;src/agentic_hil/tools.py;src/agentic_hil/backends/stlink.py,call_tool;flash_firmware;debugger_permissions;STLinkBackend,multi_hop,tools,"Three hops: envelope, permission gate, backend",false,,2026-09-06T20:05:54+02:00,false,
agentic_hil_q21,"How does a symbol's value get read back off the board after a flash, and where does the ELF that names that symbol come from?",src/agentic_hil/tools.py;src/agentic_hil/backends/stlink.py;src/agentic_hil/elfsymbols.py,_remember_symbol_elf;debug_symbol_value;read_elf_symbol,multi_hop,symbols,The remembered-ELF hop is the non-obvious one,false,,2026-09-07T01:33:02+02:00,false,
agentic_hil_q22,How does a CAN frame sent by one process reach a second process attached to the same bus?,src/agentic_hil/can.py;src/agentic_hil/canbroker.py,CanBusService;CanBroker;frame_to_wire,multi_hop,can,Service to broker to wire format,false,,2026-09-07T09:00:25+02:00,false,
agentic_hil_q23,"How does a plan run end up as evidence a reviewer reads in a pull request, and what stops that evidence carrying secrets?",src/agentic_hil/runevidence.py;src/agentic_hil/redact.py,write_run_evidence;job_summary;redact_sensitive,multi_hop,reporting,Evidence writer plus the redaction refusal it depends on,false,,2026-09-05T17:08:18+02:00,false,
agentic_hil_q24,"How does an edit to the config file on disk get picked up by a running server, and what refuses the reload while a run is still open?",src/agentic_hil/configreload.py;src/agentic_hil/configstate.py,reload_description;_open_run_refusal;config_status,multi_hop,config,Reload path plus the two refusals guarding it,false,,2026-09-01T20:17:43+02:00,false,
agentic_hil_q25,How does the report an agent reads back carry proof that the audit log was not edited underneath it?,src/agentic_hil/tools.py;src/agentic_hil/report.py,attach_canonical_audit_evidence;canonical_audit_evidence;append_canonical_audit_log,multi_hop,audit,"Tool surface to canonical log; the evidence is attached on read, not on write",false,,2026-09-07T01:33:02+02:00,false,
kicad_mcp_pro_q01,Which module runs a PCB design-rule check through the KiCad CLI and classifies the report it produces?,src/kicad_mcp/validation/drc_runner.py,run_drc_report;classify_drc_report;DrcRunResult,locate,drc,Runner is separate from the report reader; tests precision about which file,false,,2026-08-02T02:04:39Z,false,
kicad_mcp_pro_q02,"Where are the controlled-impedance calculations for microstrip, stripline and coplanar traces implemented?",src/kicad_mcp/utils/impedance.py,trace_impedance;differential_impedance;solve_width_for_impedance,locate,signal integrity,Core EDA maths; three named public helpers in one module,false,,2026-06-01T11:11:58+03:00,false,
kicad_mcp_pro_q03,Where is the parser for KiCad custom design-rule (.dru) files?,src/kicad_mcp/utils/dru.py,parse_dru;dump_dru;upsert_rule,locate,drc,File-format module named after the extension it handles,false,,2026-06-04T04:31:13+03:00,false,
kicad_mcp_pro_q04,Where is a Specctra SES session file parsed and applied back onto a .kicad_pcb?,src/kicad_mcp/utils/router_core.py,parse_ses;apply_ses_to_pcb;SesRoute,locate,routing,Described by behaviour; the module name is not the format name,false,,2026-06-18T02:39:04+03:00,false,
kicad_mcp_pro_q05,"Where does this server generate KiCad footprints (chip passives, SOT-23) from an IPC density level?",src/kicad_mcp/utils/footprint_gen.py,chip_pad_geometry;ipc_density_tag;ChipPadGeometry,locate,footprints,Generation is separate from footprint validation,false,,2026-08-18T21:59:02Z,false,
kicad_mcp_pro_q06,Which module loads a manufacturer DFM profile and turns board metrics into a DFM verdict?,src/kicad_mcp/tools/dfm.py,_load_profile;_board_metrics;_dfm_verdict_report,locate,dfm,Profiles are JSON data; the module that reads them is the answer,false,,2026-08-02T02:04:39Z,false,
kicad_mcp_pro_q07,"Where is the intermediate circuit representation - components, pins, nets, power rails - defined?",src/kicad_mcp/ir/circuit_ir.py,IRCircuit;IRComponent;IRNet;IRPin,locate,ir,Dataclass module; the IR prefix is the distinctive token,false,,2026-06-27T11:10:30+03:00,false,
kicad_mcp_pro_q08,Which module lints that circuit IR for floating power rails and dangling nets?,src/kicad_mcp/ir/lint.py,lint_circuit;IRLintFinding;IRLintSeverity,locate,ir,Sibling of the IR definition; distinguishing the two is the point,false,,2026-09-04T11:31:28+03:00,false,
kicad_mcp_pro_q09,Where is the workspace path-safety boundary that stops a tool writing outside the project root?,src/kicad_mcp/path_safety.py,resolve_under;assert_within;relative_subpath,locate,security,Small module at the package root rather than under utils/,false,,2026-09-04T19:18:17Z,false,
kicad_mcp_pro_q10,"What does trace_impedance do when it is handed a trace_type it does not recognise, and which three does it accept?",src/kicad_mcp/utils/impedance.py,trace_impedance;_microstrip_impedance;_stripline_impedance;_coplanar_impedance,trace,signal integrity,Dispatch on a casefolded string; the three private solvers are the second half,false,,2026-06-01T11:11:58+03:00,false,
kicad_mcp_pro_q11,"How does solve_width_for_impedance find a width for a target impedance, and how many iterations does it run?",src/kicad_mcp/utils/impedance.py,solve_width_for_impedance;trace_impedance,trace,signal integrity,Fixed-iteration bisection; the iteration count is a source-only detail,false,,2026-06-01T11:11:58+03:00,false,
kicad_mcp_pro_q12,What does differential_impedance do with the single-ended result to arrive at the differential figure?,src/kicad_mcp/utils/impedance.py,differential_impedance;trace_impedance,trace,signal integrity,Coupling term differs for stripline; both branches are part of the answer,false,,2026-06-01T11:11:58+03:00,false,
kicad_mcp_pro_q13,"What does run_drc_report do when the first kicad-cli command form fails, and what decides which flags are used?",src/kicad_mcp/validation/drc_runner.py,run_drc_report;_command_variants;DrcCliCapabilities,trace,drc,"Two CLI argument orders tried in turn, gated on probed capabilities",false,,2026-08-02T02:04:39Z,false,
kicad_mcp_pro_q14,"What does resolve_under do with an absolute path, and what does it raise when the resolved path escapes the root?",src/kicad_mcp/path_safety.py,resolve_under;assert_within;UnsafePathError,trace,security,Two branches plus the exception type,false,,2026-09-04T19:18:17Z,false,
kicad_mcp_pro_q15,What does apply_ses_to_pcb do with the net names in a SES file to write track segments into the board text?,src/kicad_mcp/utils/router_core.py,apply_ses_to_pcb;parse_ses;parse_net_numbers;render_pcb_items,trace,routing,Four-step pipeline inside one module,false,,2026-06-18T02:39:04+03:00,false,
kicad_mcp_pro_q16,"What does FreeRoutingRunner.export_dsn try, in order, before it gives up, and what does it raise then?",src/kicad_mcp/utils/freerouting.py,export_dsn;_cli_export_dsn;FreeRoutingRunner,trace,routing,Ordered fallback chain ending in a named manual-step error,false,,2026-06-16T16:16:44+03:00,false,
kicad_mcp_pro_q17,"What does reject_foreign_windows_path protect against, and when is it a no-op?",src/kicad_mcp/path_safety.py,reject_foreign_windows_path;UnsafePathError,trace,security,Platform-conditional guard; the reason is in the docstring,false,,2026-09-04T19:18:17Z,false,
kicad_mcp_pro_q18,What does the MCP server do with an exception raised inside a tool before the client sees it?,src/kicad_mcp/server.py,_structured_tool_error;_tool_error_code;_tool_error_hint;_clean_tool_error,trace,server,Error classification chain inside one large file,false,,2026-08-29T21:40:53+03:00,false,
kicad_mcp_pro_q19,"How does the route_export_dsn tool get a Specctra DSN out of a board, and what applies the router's SES result back to the .kicad_pcb?",src/kicad_mcp/tools/routing.py;src/kicad_mcp/utils/freerouting.py;src/kicad_mcp/utils/router_core.py,route_export_dsn;FreeRoutingRunner;export_dsn;apply_ses_to_pcb,multi_hop,routing,"Three files: tool surface, exporter, board writer",false,,2026-08-28T15:22:30Z,false,
kicad_mcp_pro_q20,How does a DFM check combine a manufacturer profile with a DRC run?,src/kicad_mcp/tools/dfm.py;src/kicad_mcp/validation/drc_runner.py,_load_profile;_run_drc_report;run_drc_report,multi_hop,dfm,Same-named private wrapper in the tool over the shared runner,false,,2026-08-02T02:04:39Z,false,
kicad_mcp_pro_q21,How does the si_calculate_trace_impedance tool arrive at both the single-ended and the differential figures it reports?,src/kicad_mcp/tools/signal_integrity.py;src/kicad_mcp/utils/impedance.py,si_calculate_trace_impedance;trace_impedance;differential_impedance,multi_hop,signal integrity,Tool surface over two library calls,false,,2026-08-10T11:34:38+03:00,false,
kicad_mcp_pro_q22,"How does a KiCad schematic become a circuit IR that can be linted, and what produces the power rails in it?",src/kicad_mcp/ir/from_kicad.py;src/kicad_mcp/ir/circuit_ir.py;src/kicad_mcp/ir/lint.py,parse_schematic;IRCircuit;IRPowerRail;lint_circuit,multi_hop,ir,"Parse, represent, lint - three files in one package",false,,2026-06-27T13:20:24+03:00,false,
kicad_mcp_pro_q23,How does a footprint tool keep an agent-supplied output directory inside the project?,src/kicad_mcp/tools/footprint.py;src/kicad_mcp/path_safety.py,resolve_under;assert_within;UnsafePathError,multi_hop,security,Call site plus the boundary it calls,false,,2026-06-06T19:09:57+03:00,false,
kicad_mcp_pro_q24,How does a courtyard overlap found by DRC reach a caller as a structured entry rather than raw JSON?,src/kicad_mcp/validation/drc_runner.py;src/kicad_mcp/validation/drc_report.py,run_drc_report;report_entries;courtyard_violations,multi_hop,drc,Runner writes the report; the reader extracts one violation class from it,false,,2026-08-02T02:04:39Z,false,
kicad_mcp_pro_q25,"How does a board dimension expressed in millimetres end up as the integer coordinate KiCad stores, and where is that conversion defined?",src/kicad_mcp/utils/units.py;src/kicad_mcp/pcb/geometry.py,mm_to_nm;nm_to_mm;point_xy_mm;track_segment_length_mm,multi_hop,geometry,Unit helpers plus their geometry consumer,false,,2026-06-01T11:11:58+03:00,false,
mixle_q01,Where is the optimize() entry point that fits a whole heterogeneous model tree in one generalized-EM loop?,mixle/inference/estimation.py,optimize,locate,inference,Public one-call fit; its home module is not guessable from the import path,false,,2026-09-07T11:47:40+08:00,false,
mixle_q02,"Where are the EM strategy classes - annealed, Monte Carlo, online, SQUAREM - defined, and what drives the loop over them?",mixle/inference/em.py,run_em;AnnealedEM;MonteCarloEM;SquaremEM;OnlineEM,locate,inference,One module holds the whole strategy family plus its driver,false,,2026-08-27T08:56:50+08:00,false,
mixle_q03,"Where are the split-conformal, jackknife+ and CV+ prediction-interval routines implemented?",mixle/inference/conformal.py,split_conformal;jackknife_plus;cv_plus;mondrian_conformal,locate,uncertainty,Four named public functions in one small module,false,,2026-08-09T22:33:29+08:00,false,
mixle_q04,Where is the numba implementation of the NUTS sampler?,mixle/inference/mcmc/nuts_numba.py,nuts_numba;_build_tree;_find_reasonable_eps,locate,mcmc,One of two NUTS backends; the file name distinguishes them,false,,2026-07-29T12:49:03+08:00,false,
mixle_q05,Where is the Plackett-Luce ranking distribution and its estimator defined?,mixle/stats/rankings/plackett_luce.py,PlackettLuceDistribution;PlackettLuceEstimator;PlackettLuceAccumulator,locate,distributions,Named family in a rankings subpackage; distribution/estimator/accumulator triple,false,,2026-08-03T11:20:58+08:00,false,
mixle_q06,"Where are the Bayesian-optimization acquisition functions - expected improvement, UCB, Thompson sampling?",mixle/doe/bayesopt.py,expected_improvement;upper_confidence_bound;thompson_sampling;register_acquisition,locate,doe,Design-of-experiments subpackage rather than inference,false,,2026-08-26T11:02:35+08:00,false,
mixle_q07,Where does mixle enumerate the highest-probability HMM state paths with a certified bound on the mass covered?,mixle/enumeration/hmm_paths.py,hmm_best_paths;HMMPathIndex;CertifiedMassBound,locate,enumeration,Described by behaviour; the certification types are the distinctive tokens,false,,2026-07-25T06:58:49+08:00,false,
mixle_q08,Where does auto-inference decide which distribution family fits each field of a record?,mixle/utils/automatic/profiling.py,get_estimator;StructureProfile;MarginalFieldProfile,locate,automatic typing,Split out of the old flat module; profiling rather than factories is the answer,false,,2026-09-06T12:21:22+08:00,false,
mixle_q09,"Where is the solve(teacher, inputs, ...) entry point that replaces a callable with a calibrated local model?",mixle/task/solve.py,solve;Solution,locate,task,Task subpackage; the returned type is the second half,false,,2026-08-26T11:02:35+08:00,false,
mixle_q10,"What does optimize do when estimator=None and a column carries None or NaN, and what must a caller who builds the estimator themselves get right?",mixle/inference/estimation.py,optimize,trace,inference,Auto-wrapping plus the sentinel-identity caveat; both are in the docstring,false,,2026-09-07T11:47:40+08:00,false,
mixle_q11,"What does optimize do with a native +inf or -inf in a column, and how does that differ from its treatment of None and NaN?",mixle/inference/estimation.py,optimize,trace,inference,"Two policies that diverge, one of which warns; source-only detail",false,,2026-09-07T11:47:40+08:00,false,
mixle_q12,"How does select_best decide the winner, and what happens when conformal_alpha is passed instead of heuristic_alpha?",mixle/inference/select.py,select_best;SelectionResult,trace,selection,"Argmax with a sign flip, plus a deprecation path that carries no coverage guarantee",false,,2026-08-09T13:15:26+08:00,false,
mixle_q13,"What does select_best report for confident when it is given exactly two candidates, and why?",mixle/inference/select.py,select_best;SelectionResult,trace,selection,A named degeneracy; the reasoning is written in the docstring,false,,2026-08-09T13:15:26+08:00,false,
mixle_q14,What does solve do when the student's held-out agreement misses target_agreement?,mixle/task/solve.py,solve;Solution,trace,task,Gate that demotes the whole Solution rather than partially promoting it,false,,2026-08-26T11:02:35+08:00,false,
mixle_q15,"What does the ood argument to solve do, and what is its default?",mixle/task/solve.py,solve;DensityGate,trace,task,A p(x) gate on by default; the quantile floor is the specific answer,false,,2026-08-26T11:02:35+08:00,false,
mixle_q16,"What does nuts_numba do during warmup to choose a step size, and what does it do about the U-turn condition?",mixle/inference/mcmc/nuts_numba.py,nuts_numba;_find_reasonable_eps;_no_uturn;_build_tree,trace,mcmc,Named private helpers; the algorithm is standard but the naming is not,false,,2026-07-29T12:49:03+08:00,false,
mixle_q17,What does hmm_best_paths validate about the log-probability arrays it is handed before it enumerates anything?,mixle/enumeration/hmm_paths.py,hmm_best_paths;_validate_hmm_model;_check_not_superstochastic,trace,enumeration,Three named checks; superstochasticity is the non-obvious one,false,,2026-07-25T06:58:49+08:00,false,
mixle_q18,"What does propose return by default, and what must a caller do with it before scoring?",mixle/lifecycle.py,propose;Model,trace,lifecycle,"Returns a specification, not a fitted model, unless fit=True",false,,2026-08-29T02:47:21+08:00,false,
mixle_q19,"How does a near-unique identifier column end up scoring -inf on a held-out row, and which pieces decide that?",mixle/inference/estimation.py;mixle/stats/combinator/ignored.py;mixle/utils/automatic/profiling.py,optimize;IgnoredDistribution;get_estimator,multi_hop,automatic typing,Auto-typing freezes the column; the -inf only bites at scoring time,false,,2026-09-07T11:47:40+08:00,false,
mixle_q20,"How does propose(data, fit=True) get from raw rows to a fitted model?",mixle/lifecycle.py;mixle/utils/automatic/profiling.py;mixle/inference/estimation.py,propose;get_estimator;optimize,multi_hop,lifecycle,"Three hops: candidate ranking, auto-typing, the fitting loop",false,,2026-08-29T02:47:21+08:00,false,
mixle_q21,"How does the model solve returns decide to answer locally rather than escalate to the teacher, and what sets the thresholds it uses?",mixle/task/solve.py;mixle/task/calibrate.py;mixle/task/density.py,solve;CalibratedTaskModel;ESCALATE;DensityGate,multi_hop,task,Two independent gates - conformal set size and density - plus the sentinel,false,,2026-08-26T11:02:35+08:00,false,
mixle_q22,"How does a mixture model's E-step get its responsibilities, and how does the outer fitting loop decide it has converged?",mixle/stats/latent/mixture.py;mixle/inference/em.py;mixle/inference/estimation.py,MixtureDistribution;run_em;optimize;EMStepResult,multi_hop,inference,"Distribution, EM driver, and the loop that owns the delta test",false,,2026-09-07T11:47:40+08:00,false,
mixle_q23,How does a fitted model get its log-density evaluated on a torch backend rather than numpy?,mixle/engines/torch_engine.py;mixle/inference/estimation.py,TorchEngine;optimize,multi_hop,engines,Engine object passed into the fit; the dispatch is on the estimation side,false,,2026-08-05T13:37:06+08:00,false,
mixle_q24,How does a Bayesian-optimization loop choose its next design point?,mixle/doe/optimizer.py;mixle/doe/bayesopt.py,BayesianOptimizer;expected_improvement;_get_acquisition,multi_hop,doe,Optimizer holds the loop; the acquisition registry is a separate module,false,,2026-08-03T18:13:34+08:00,false,
mixle_q25,"How does an interval produced by split_conformal end up carrying a coverage statement, and what does that statement assume?",mixle/inference/conformal.py;mixle/task/calibrate.py,split_conformal;_conformal_quantile;CalibratedTaskModel,multi_hop,uncertainty,The exchangeability assumption is the half a memorising model would miss,false,,2026-08-09T22:33:29+08:00,false,
